District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobil,Contact Person,Working Sector
Lalitpur,राष्ट्रिय जनचेतना तथा ग्रामीण पूर्वाधार र सामाजिक विकास नेपाल ,National Awareness and Rural Infrastructural And Development Nepal,,Jwagal-10,015011132/9841242451,,chaudhari055@yahoo.com,,,,
Lalitpur,चेतनशील सशक्त समाज ,Chetanshil Sasakta Samaj,,Badikhel-2,01-6216272,,,,,,
Lalitpur,श्री महांकाल ग्रामीण विकास समूह ,Shree Mahankal Rural Development Group,,Gotikhel-2,,,,,,,
Lalitpur,बुंमति फाउण्डेशन नेपाल ,Bungmati Foundation Nepal,,Bungmati-2,01-5591930,,utsab_fan@hotmail.com,,,,
Lalitpur,महिला हिंसा विरुद्ध अन्तरधार्मिक राष्टिय सञ्जाल ,National Inter-religious  Network On Violence against Women,,"Lalitpur-20, Ta Dhoka Purnachandi",5524316,,stepnepal@wlink.com.np,,,,
Lalitpur,असहाय नानीहरुको साथी ,Friends of Needy Children,,Lalitpur-4,9851030018,,,,,,
Lalitpur,छम्पी सामुदायिक विकास संस्था   ,Chhampi Community Development Organization,,Chhampi-1,9849055343,,,,,,
Lalitpur,परिचय समाज ,Parichaya Samaja,,Lalitpur-2,,,,,,,
Lalitpur,गरिवी उन्मुलन सहयोग तथा अनुसन्धान केन्द्र नेपाल ,Poverty Allivation Co-operation and Research Centre Nepal,,Lalitpur-19,9841282219 and 12112129,,,,,,
Lalitpur,अधिकार समता तथा सामाजिक रुपान्तरणका लागि आम सञ्चार अभियान (मिरेष्ट) नेपाल ,Mass Communication Campaign for Equall Rights and Social Transformation ,,Lalitpur-10,5260552,,info@mirestnepal.org.np,,,,
Lalitpur,दक्षिण ललितपुर नेपाल ,Southern Lalitpur Nepal,,Lalitpur-15,,,,,,,
Lalitpur,सामुहिक विकास अभियान नेपाल ,Community Development Campagin Nepal,,"Lalitpur-4, Chapagaun",,,cdcnepal@vianet.com.np,,,,
Lalitpur,अजम्बरी नेपाल ,Ajambari Nepal,,Mangalbazar-15,9841462992,,,,,,
Lalitpur,बालबालिका तथा महिला बचाउ अभियान ,Children and Women Save Campaign Nepal,,Chapagaun-6,5571711,,,,,,
Lalitpur,सामाजिक सशक्तिकरणका लागि युवा,Youth for Social Empowerment,,"Luvu-8,Bishnudol",9851016099,,,,,,
Lalitpur,ग्रामीण विकास एकता केन्द्र ,Rural Development Unity Forum,,Sanepa-2,,,,,,,
Lalitpur,श्रमिक ग्रामीण विकास समूह ,Labour Rural Development Group,,"Ekudol-8,Dharedanda",,,,,,,
Lalitpur,समताकोलागि जागरण नेपाल ,Jagaran Nepal for Equity,,,,,,,,,
Lalitpur,मानवीय तथा पूर्वाधार विकास केन्द्र ,Humanitarian and Foundamental Development Centre,,,,,,,,,
Lalitpur,नेपाल युथ फोरम ,Nepal Youth Forum,,Kupandol,,,nepalyouthforum@gmail.com,,,,
Lalitpur,सोसाइटी फर पार्टिसिपेटोरी कल्चरल एजुकेशन ,Society For Participatory Cultural Education,,Lalitpur-10,,,space@ntc.net.np,,,,
Lalitpur,सिर्जना सेवा केन्द्र ,Service Centre For Creation,,Pulchok-4,,,scenfoc@hotmail.com,,,,
Mahottari,समाज सेवा सेवा युवा क्लव ,Social Service Youth Club,,Mahottari,,,,,,,
Mahottari,नेपाल युवा कल्याण केन्द्र ,Nepal Youth Welfare Centre,,Jaleswor-9,,,,,,,
Mahottari,बाल जीवन युवा क्लव ,Child Life Youth Club,,Jaleswor-10,,,,,,,
Mahottari,गंगा असर्फी सेवा सदन ,Shree Ganga Asarphy Sewa Sadan,,Pipara-9,,,,,,,
Mahottari,शंकर आदर्श पुस्तकालय ,Shree Shankar Adarsa Pustakalay,,Matihani-3,,,,,,,
Mahottari,पिपरा किर्केट क्लव ,Pipara Criceket Club,,Janakpur-2,,,,,,,
Mahottari,नव प्रतिभा युवा क्लव ,Naba Partiva Youth Club,,Gauribas-2,,,,,,,
Mahottari,बद्री पुस्तक मन्दिर ,Badri Pustak Temple,,Pipara-9,,,,,,,
Mahottari,श्री युवा सदाचार क्लव ,Shree Youba  Sadachar Club,,Sundarpur-7,,,,,,,
Mahottari,जीवन ज्योति युवा क्लव ,Jiwan Joyti Youth Club,,Jaleswor-4,,,,,,,
Mahottari,सत्खोली संस्कृतिक सामुदायिक विकास कल्व,Satkholi Cultural Community Development Club,,Janakpur-6,,,,,,,
Mahottari,भवनी युवा क्लव ,Bhawani Youth Club,,Bharatpur-9,,,,,,,
Mahottari,जयशंकर वहुमुखी युवा क्लव ,Jayashankar Multiple Youth Club,,Mahottari-6,,,,,,,
Mahottari,श्री जय भवनी युवा क्लव ,Shree Jaya Bhawani Youth Club,,Bishnupur-3,,,,,,,
Mahottari,वहुउद्देश्यीय अगुवा कृषक संंस्था ,Multi Purpose Aguwa Agricultural Committee,,Bhartpur-5,,,,,,,
Mahottari,सामुदायीक विकास यूवा क्लब,Community Development Youth Club,,"Laxminia-7, Kantibazar",,,,,,,
Mahottari,सामुदायीक विकास संस्था,Community Development Committee,,Khayarmara-4,,,,,,,
Mahottari,सामुदायीक विकास संस्था किसाननगर,Community Development Organization,,Kisan Nagar-7,,,,,,,
Mahottari,,,,,,,,,,,
Mahottari,यूवा सांंस्कृतीक क्लब,Youth Cultural Club,,Ekariya-4,,,,,,,
Mahottari,स्थानिय विकास प्रशिक्षण केन्द,Local Development Training Centre,,Bardibas-1,,,,,,,
Mahottari,सुर्योदय यूवा क्लब,Suryodaya Youth Club,,Maisthan-4,,,,,,,
Mahottari,ग्रामीण विकास परिचालन केन्द्र,Rural Development Mobilization Centre,,"Gauribas-3, Patu",,,,,,,
Mahottari,नेपाल समाज सेवी युवा क्लव,Nepal Social Service Youth Club,,Laxminia-7,,,,,,,
Mahottari,समाज सेवी क्लब,Social service Club,,Bharatpur-4,,,,,,,
Mahottari,गणेश युवा क्लव ,Ganesh Youth Club,,Pipara-2,,,,,,,
Mahottari,गरिबी निवारण सरोकार समाज,Poverty Allevation Concern Society,,Bharatpur-8,,,,,,,
Mahottari,जनसेवा यूवा क्लब,Public Service Youth Club,,Belgachhi-9,,,,,,,
Mahottari,एकता महिला समुह,Unity Women Group,,Hathilet-8,,,,,,,
Mahottari,मानव अधिकार तथा विकास समाज,Human Rights and Development Society,,Gausala-2,,,,,,,
Mahottari,महोत्तरी जनचेतनशिल समाज,Mahottari Public Awareness Society,,Jaleswor -5,,,,,,,
Mahottari,समाज कल्याण सेवा केन्द्र,Social Welfare Service Centre,,Jaleswor-1,,,,,,,
Mahottari,नेपाल जनजाती उत्थान केन्द्र,Nepal Janjati Progress Centre,,Matihani-6,,,,,,,
Mahottari,महिला मिलन समुह,Mahila Milan Group,,Gauribas-2,,,,,,,
Mahottari,जनशक्ति युवा क्लब,Public Empower Youth Club,,Gauribas-3,,,,,,,
Mahottari,महोत्तरी सेवा समिति ,Mahottari Service Committee,,Bardibas-7,,,,,,,
Mahottari,महिला सांस्कृतीक उत्थान केन्द्र,Women Cultural Development Centre,,Bardibas-1,,,,,,,
Mahottari,इन्द्रधनु युाव नाट्य कला तथा जन कल्याण परिषद ,Endradhanush Yuba Natya Kala Tatha Janakalan parishad,,Bhartpur-7,,,,,,,
Mahottari,बेल तथा फलफुल बिकास समुह,Aegle marmelos and Fruits Development Group,,Khayarmara-4,,,,,,,
Mahottari,चन्द्रदिप वेलफेयर काउन्सिल,Chandra Deep Welfare Conucil,,Bardibas-7,,,,,,,
Mahottari,एकिकृत ग्रामिण बिकास संस्था,Integrated Rural Development Organization,,Khayarmara-5,,,,,,,
Mahottari,समाजसेवी युवा क्लव,Social Service Youth Club,,Ekariya,,,,,,,
Mahottari,महिला सहयोगात्मक समाज नेपाल,Women Helping Society Nepal,,"Bardibas-1, Namuna Tole",,,,,,,
Mahottari,दलित उत्थान सेवा समिति,Dalit Progress Service committee,,Jaleswor-9,,,,,,,
Mahottari,महोत्तरी जनचेतनशीला समाज ,Mahottari Janachetansil Samaj,,Jaleswor-5,,,,,,,
Mahottari,नेपाल जनजाती उत्थान केन्द्र,Nepal Janjati Progress Centre,,Jaleswor-6,,,,,,,
Mahottari,समाज कल्याण सेवा केन्द्र,Samaj Kalayan Sewa Kendra,,Jaleswor-1,,,,,,,
Mahottari,,Jana Kalayan Sewa Youth Club,,Ekariya-7,,,,,,,
Mahottari,महिला जागृति परियोजना,Mahila Jagrit Project,,Gainda Vedpur-1,,,,,,,
Mahottari,चित्र गुप्त सेवा समिति,Chitra Gupta Service Committee,,Jaleswor -13,,,,,,,
Mahottari,ज्योति समाज सेवा कल्याण,Joyti Social Service Welfare,,Jaleswor -10,,,,,,,
Mahottari,दलित युवा उत्थान समिति ,Dalit Youth Progress Committee,,Jaleswor-9,,,,,,,
Mahottari,ग्रामीण समुदायिक विकास सेवा परिषद ,Rural Community Development Service Council Organizational,,Jaleswor-5,,,,,,,
Mahottari,महिला सचेतना समूह,Women Awareness Group,,Gaindavedpur-1,,,,,,,
Mahottari,नेपाल ग्रामीण समाज उत्थान केन्द्र,Nepal Rural Society Progress Centre,,Ankar-7,,,,,,,
Mahottari,सार्वजनिक विकास संस्था,Public Development Organization,,Jaleswor-5,,,,,,,
Mahottari,समाज सेवा समिति,Social Service Committee,,"Kataiya-7, Sisawa",,,,,,,
Mahottari,सामुदायिक विकास परियोजना,Comminity Development Project,,Jaleswor-8,,,,,,,
Mahottari,माँ दुर्गा सेवा परिषद,Ma Durga Service Counicl,,Jaleswor-8,,,,,,,
Mahottari,महिला विकास समूह,Women Development Group,,Jaleswor-8,,,,,,,
Mahottari,महिला उत्थान समूह,Women Development Group,,Ekariya-4,,,,,,,
Mahottari,असहाय विकास परियोजना,Helpless Development Project,,Jaleswor-8,,,,,,,
Mahottari,नेपाल जनजाती कल्याण परिष्द,Nepal Janjati Welfare Council,,Jaleswor-8,,,,,,,
Mahottari,ग्रामीण असहाय उत्थान केन्द्र,Rural Helpless Progressive Centre,,Ankar-6,,,,,,,
Mahottari,दलित विकास परियोजना,Dalit Development Project,,Simardahi-1,,,,,,,
Mahottari,ग्रामीण सामुदायिक विकास समाज,Rural Community Development Society,,Bathanaha-4,,,,,,,
Mahottari,एकिकृत ग्रामीण विकास समाज,Integrated Rural Development Society,,Bardibas-1,,,,,,,
Mahottari,जन जागृति समाज,Jana Jagrit Society,,"Parsa, Pataili-3",,,,,,,
Mahottari,रतौली युवा क्लब,Ratuli Youth Club,,Ratuli-6,,,,,,,
Mahottari,ग्रामीण महिला जागरण समाज,Rural Women Awareness Society,,Ratuli-4,,,,,,,
Mahottari,दलित उत्थान जन चेतना कार्यक्रम,Dalit Progressive Public Awareness Program,,Jaleswor-4,,,,,,,
Mahottari,नेपाल जनजाती कल्याण परिषद,Nepal Janjanti Welfare Conucil,,Jalesowr-8,,,,,,,
Mahottari,जन जागृति समाज,Jana Jagrit Society,,Jaleswor-5,,,,,,,
Mahottari,युवा क्लब तथा पुस्तकालय,Youth Club and Library,,Ankar-9,,,,,,,
Mahottari,कमला समाज सेवा नेपाल,Kamala Social Service Nepal,,Bardibas-7,,,,,,,
Mahottari,समाज विकास संघ नेपाल ,Social Development Associarion Nepal,,Bhatauliya-2,,,,,,,
Mahottari,बर्दिवास सेवा समिति,Bardibas Welfare Committee,,Bardibas-1,,,,,,,
Mahottari,सगुन सामुदायिक समाज नेपाल ,Sagun Community Social Nepal,,"Khayamara-8, Bazartole",,,,,,,
Mahottari,दलित जनजाति कल्याण केन्द्र ,Dalit Janjati Welfare Centre,,Jalesowor-2,,,,,,,
Mahottari,दलित समाज कल्याण केन्द्र ,Dalit Society Welfare Centre,,Jalesowor-2,,,,,,,
Mahottari,समाज विकास केन्द्र ,Social Development Centre,,Jaleswor-6,,,,,,,
Mahottari,दलित उत्पीडित उत्थान संघ नेपाल ,Dalit Oppressed Upliftment Association,,Bardibas-1,,,,,,,
Mahottari,हाथिलेट वातावरण समूह ,Hathilet Environment Group,,Hathilet-9,,,,,,,
Mahottari,नेपाल युवा क्ल्याण केन्द्र ,Nepal Youth Welfare Centre,,Jaleswor-9,,,,,,,
Mahottari,प्रयास महोत्तरी नेपाल ,Prayas Mahottari Nepal,,Jaleswor-8,,,,,,,
Mahottari,दलित कल्याण परिषद ,Dalit Welfare Conucil,,Jaleswor-7,,,,,,,
Mahottari,दलित सशक्तिकरण अभियान नेपाल ,Dalit Empowerment Campagin Nepal,,Bardibas-1,,,,,,,
Mahottari,दलित समाज विकास केन्द्र ,Dalit Society Development Centre,,Jaleswor-7,,,,,,,
Mahottari,दलित मुक्ति समाज संघ ,Dalit Free Society Organization,,Damhimadai-3,,,,,,,
Mahottari,जनहित समुदायिक विकास परिषद्,Public Welfare Community Development Council,,Jaleswor-9,,,,,,,
Mahottari,वहुउद्देश्यीय परियोजना ,Multi Purpose Project,,Jaleswor-7,,,,,,,
Mahottari,दलित गरिव समाज सुधार कार्यक्रम ,Dalit Poverty Social Improvement Program,,Bhatauliya-3,,,,,,,
Mahottari,नेपाल उत्पीडित उत्थान परियोजना ,Nepal Oppressed Upliftment Project,,Gauri Gamya-3,,,,,,,
Mahottari,आत्म निर्भर विकास केन्द्र ,Self Dependent Development Centre,,Bijal Pura-3,,,,,,,
Mahottari,तराई दलित अनुसन्धान तथा विकास केन्द्र ,Tarai Dalit Research and Development Centre,,Jaleswor-6,,,,,,,
Mahottari,लालीगुराँस युवा क्लव  ,Lali Gurans Youth Club,,"Maisthan-6, Gadhanta",,,,,,,
Mahottari,सामुदायिक विकास तथा पैरवी मञ्च नेपाल ,Community Development and Advocacy Forum,,Bardibas-1,,,,,,,
Mahottari,जीवनज्योति ग्रामीण सामुदायिक सेवा समाज ,Jiwan Joyti Rural Community Service Society,,Jaleswor-4,,,,,,,
Mahottari,समाज कल्याण केन्द्र ,Social Welfare Centre,,Janakpur-7,9844021701,,,,,,
Mahottari,न्यू गरिव नवजात युवा क्लव ,New Poor Nabjat Youth Club,,Mahadaiya-9,9844059227,,,,,,
Mahottari,नेपाल उत्पीडित दलित समाज ,Nepal Oppressed Dalit Social Service,,Gonrpura-5,,,,,,,
Mahottari,समाज विकासका सहयोगी हात ,Helping Hand Of Social Development,,Ratauli-6,98078030265,,,,,,
Mahottari,जनप्रीय युवा क्लव ,Janapiya Youth Club,,Banauta-6,9845846858,,,,,,
Mahottari,कृष्ण युवा क्लव ,Shree Krishana Youth Club,,Khutta Pipradi-1,9807807007,,,,,,
Mahottari,समावेशी मिलन समाज  ,Inclusive Friendship Society,,Dhaamaura-1,9844030319,,,,,,
Mahottari,समाज विकास परियोजना ,Social Development Porject,,Janakpur-7,041-26722/9841808967,,,,,,
Mahottari,पब्लिक उत्थान समाज ,Pubalic Up Lift Association,,Bharmpura-6,9813372589,,,,,,
Mahottari,समाज कल्याण संरक्षण केन्द्र ,Society Welfare Contraction Centre,,Padaul-2,9804834886,,,,,,
Mahottari,गरिव उत्थान केन्द्र नेपाल ,Poor Impowerment Centre,,Hariharpur-7,9844071844,,,,,,
Mahottari,लोहरपट्टी युवा कमिटि,Loharpatti Youth Committee,,Loharpatti-3,9814870648,,,,,,
Mahottari,नवजीवन समाज केन्द्र ,New Life Society Centre Of Nepal,,Bagada-8,9804820449,,,,,,
Mahottari,पूर्णिमा वल्र्ड सरपल्लो ,Poornima World,,Sarpallo-1,9844028901,,,,,,
Mahottari,जनहित युवा समाज ,Pablic Right Youth Society,,Bharmpura-2,9844113286,,,,,,
Mahottari,ग्रामीण समाज उत्थान तथा असहाय संरक्षण  केन्द्र ,Centre For Helpless And Rural Development Soaciety,,Suga-7,9844104803,,,,,,
Mahottari,श्रीकृष्ण युवा क्लव ,Shree Krishana Youth Club,,Suga-1,,,,,,,
Mahottari,थरुआही सेवा केन्द्र ,Tharuahi Service Centre,,Tharuahi-8,044-690852,,,,,,
Mahottari,रामनारायण प्रतिष्ठान ,Ram Narayan Academy Centre,,Pipara,044-58005,,,,,,
Mahottari,समाज कल्याण परियोजना नेपाल ,Social Welfare Project Nepal,,Jaleswor-8,,,,,,,
Mahottari,मिथिल्ला जनआवाज युवा क्लव ,Mithilla Jan Voice Youth Club,,Bathnaha-4,,,,,,,
Mahottari,मुस्लिम विकास तथा कल्याण समिति ,Muslim Development And Walfare Committee,,Kolhuwa Bageya-3,9844059034,,,,,,
Mahottari,शमस युवा क्लव ,Shams Youth Club,,Bairgiya Laxminiya-2,,,,,,,
Mahottari,ग्रामीण महिला दलित तथा अल्पसंख्यक उत्थान केन्द्र ,Rural Women Dalit And Minority Uplift Centre,,Raghunath-7,9844022938,,,,,,
Mahottari,जागृति महिला सशक्तिकरण संस्था ,Jagrit Women Empowerment Organization,,Bathnaha-4,,,,,,,
Mahottari,रामरहिम ओशो युवा समाज ,Ram Rahim Osho Youth Society,,Sundarpur-9,9808902154,,,,,,
Mahottari,महिला दलित चेतना विकास केन्द्र ,Dalit Women Awarness Development Centre,,Simardahi-1,9844127930,,,,,,
Mahottari,सामुदायिक अध्ययन केन्द्र ,Community Study Centre,,Sonama-1,,,,,,,
Mahottari,महोत्तरी मधेशी महिला जागरण ,Mahottari Madhesi Women Development Centre,,,,,,,,,
Mahottari,मिथिल्ला समाज कल्याण केन्द्र ,Mithila Social Welfare Centre,,Jaleswor-8,,,,,,,
Mahottari,जनचेतना सामुदायिक अध्ययन केन्द्र ,Social Awareness Study Centre,,Janakpur-7,,,,,,,
Mahottari,पिछडा वर्ग विकास तथा अनुसन्धान केन्द्र ,Backward Development And Reserch Centre,,Damhimadai-9,9807881287,,,,,,
Mahottari,सामुदायिक युवा क्लव ,Shree Samudayik Yuwa Club,,Sisawa Kataiya-9,,,,,,,
Mahottari,सोनामाई विकास परियोजना ,Sonamai Development Project Centre,,Sonavai-6,,,,,,,
Mahottari,नवसमाज विकास निर्माण संस्था ,New Society Build Orgnization,,Dhamaura-3,9804810150,,,,,,
Mahottari,ओमशान्ति युवा क्लव ,Om Shree Shanti Youth Club,,Shreepur-5,,,,,,,
Mahottari,ग्रामीण विकास तथा जन उत्थान केन्द,Rural Development And Jan Upliftment Centre,,Dhamaura-9,9816829445,,,,,,
Makwanpur,श्रमजिवी युवा क्लव,Sramjibi Yuwa Club,,Shikharkateri-4 Makawanpurgadhi,,,,,,,
Makwanpur,समाज कल्याण युवा क्लव,Social Welfare Youth Club,,"Shree churiyamai-2, Mujurchhap",,,,,,,
Makwanpur,गाँउ विकास परिषद,Village Development Council,,"Hetauda-5, Piple",,,,,,,
Makwanpur,लालिगुराँस युवा क्लव,Laligunras Yuwa Club,,"Manahari-4, Simpani",,,,,,,
Makwanpur,पारिजात युवा क्लव,Parijat Yuwa Club,,"Manahari-3, Manaharibazar",,,,,,,
Makwanpur,महिला जागरण समाज,Mahila Jagarn Samaj,,"Hetauda-9, Pasupatinagar",,,,,,,
Makwanpur,महिला जागरणको लागी संगठित समुह,Organized Group for Women Awareness,,"Hetauda-3, Pravakarpath",,,,,,,
Makwanpur,जनहित सेवा केन्द्र संस्था,Janahit sewa kendra Sastha,,Bhimphedi-2,,,,,,,
Makwanpur,नारी हित समुह,Nari Hit Samuha,,"Hetauda-5, Samopokhara",,,,,,,
Makwanpur,हाम्रो सृजनशील समाज,Hamro Srijanshil Samaj,,Phaparbari-7,,,,,,,
Makwanpur,रामेछाप काभ्रे मैत्री समाज,Ramechhap Kavre Maitri Samaj,,"Hetauda-5, Piple",,,,,,,
Makwanpur,जनचेतना युवा समुह,Jana Chetana Yuwa Club,,"Aambhanjayang-1, Bungal",,,,,,,
Makwanpur,नेपाल ग्रामीण विकास समुह,Nepal Rural Development Group,,Hetauda-2,,,,,,,
Makwanpur,ग्रामीण सेवा केन्द्र,Rural Service Centre,,"Hetauda-5, Bhairabroad",,,,,,,
Makwanpur,सामुदायीक सेवा मञ्च,Community Service Forum,,"Hetauda-2, Manakamana road",,,,,,,
Makwanpur,मनकामना युवा क्लव,Manakamana Youth Club,,"Gadhi-9, Gorudanda",,,,,,,
Makwanpur,समाज विकास मञ्च,Social Development Forum,,"Hetauda-4, School road",,,,,,,
Makwanpur,प्रजातान्त्रिक युवा क्लव,Democratic Youth Club,,"Gadhi-6, Makranchuli",,,,,,,
Makwanpur,ग्रामीण महिला स्वाबलम्बन सहकारी संस्था,Rural Women Self Relient Cooperative Organization,,"Chhatiwan-2, Hattisude",,,,,,,
Makwanpur,ग्रामीण महिला स्वाबलम्बन सहकारी संस्था,Rural Women Self Relient Cooperative Organization,,"Gadhi-3, Shikharkateri",,,,,,,
Makwanpur,समाज जागरण मञ्च,Samaj Jagarn Manch,,"Hetauda-4, Chaukitole",,,,,,,
Makwanpur,नारी शीप सृजना केन्द्र,Women Skill Creation Centre,,"Hetauda-4,Mitranagar",057-525115,,woscc@ntc.net.np,,9845025663,Uma Subedi,"Socio-economic transformation,Sustainable livelihood,Women and children rights,women empowerment and mobilization"
Makwanpur,सामाजीक सहयोग संघ,Social Co-operation Association ,,"Hetauda-11, Thanabharyang",,,,,,,
Makwanpur,हिमचुली समुह,Himchuli Group,,Padampokhari-1,,,,,,,
Makwanpur,नव जागृत युवा क्लव,Nawa Jagrit Youth Club,,Aambhanjyang-3,,,,,,,
Makwanpur,,,,,,,,,,,
Makwanpur,महिला जागरणका लागि संगठित समुह,United Group For Awakening Women ,,Hetauda-3,,,,,,,
Makwanpur,,,,,,,,,,,
Makwanpur,ँँँरामेछाप–काभ्रे मैत्री समाज,Ramechhap Kavre Maitri Samaj,,Makawanpur,,,,,,,
Makwanpur,मकवानपुरे प्रजातान्त्रिक समाज,Makawanpure Democratic Society,,Hetauda-2,,,,,,,
Makwanpur,वातावरणीय शिक्षा तथा सामुदायिक बिकास केन्द्र,Environmental Education and Community Development Centre,,Hetauda-4,,,,,,,
Makwanpur,शिक्षा तथा वातावरण सेवा केन्द्र,Centre For Education and Environment Service ,,Hetauda-2,,,,,,,
Makwanpur,ग्रामीण महिला स्वाबलम्बन साझेदारी संस्था,Rural Women Self Relient Partnership Organization,,Raigaun-5,,,,,,,
Makwanpur,वातावरण र स्वास्थ्यको लागि शिक्षा,Education for Environment and Health,,Hetauda-7,,,,,,,
Makwanpur,उपेक्षित सामुदायिक बिकास मञ्च,Marginalized Development Community  Forum,,Hetauda -2,,,,,,,
Makwanpur,महिला क्लब,Women Club,,Hetauda-9,,,,,,,
Makwanpur,तरङ्ग सांस्कृतकि परिषद,Taranga Cultural Council,,"Hetauda-10, Aanandatole",,,,,,,
Makwanpur,महिला जागरण समाज,Women Awareness Society,,Hetauda-9,,,,,,,
Makwanpur,ग्रामीण सेवा केन्द्र,Centre For Rural Service ,,Hetauda-5,,,,,,,
Makwanpur,सामुदायिक विकास केन्द्र,Community Development Centre,,Hetauda-2,25397,,,,,,
Makwanpur,गाउ‘ बिकास परिषद,Village Development Council,,Hetauda,,,,,,,
Makwanpur,जीवनका लागि विरुवा,Jiwanka lagi Biruwa,,Hetauda,,,,,,,
Makwanpur,यूवा सेवा समाज,Youth Welfare Society,,Hetauda-2,,,,,,,
Makwanpur,जन रंजन समुह नेपाल,Public Welfare Group Nepal,,Hetauda-3,,,,,,,
Makwanpur,यूग प्रभात यूवा क्लब,Yug Pravat Yuwa Club,,"Basamadi-5,Makwanpur",,,,,,,
Makwanpur,नारी हित आपसी विकास केन्द्र,Women Welfare Group,,Hetauda,,,,,,,
Makwanpur,श्रमजीवी यूवा क्लव,Sramjibi Yuwa Club,,Hetauda,,,,,,,
Makwanpur,समाज जागरण मञ्च,Society Awareness Forum,,Hetauda,,,,,,,
Makwanpur,पिडित ग्रामिण सेवा संस्था,Victim Rural Service Organizaiton,,Manahari-3,056-540321/056-525530,,,,,,
Makwanpur,समाज कल्याण यूवा क्लब,Social Welfare Youth Club,,"Churiyamai-2, Mujurdhup",,,,,,,
Makwanpur,मनकामना यूवा क्लब,Manakamana Youth Club,,"Gadhi-2,",,,,,,,
Makwanpur,जनचेतना यूवा क्लब,Public Awareness Youth Club,,Aambhanjyang-1,,,,,,,
Makwanpur,अधिकार नेपाल,Rights Nepal,,,,,,,,,
Makwanpur,महिला जागृती सेवा समुह,Mahila Jagriti Sewa Samuha,,,,,,,,,
Makwanpur,एकिकृत ग्रामीण विकास सेवा,Integrated Rural Development Service,,Hetauda-2,057-525353,,,,,Sita Bista,"Income generation,social mobilization"
Makwanpur,नव जीवन ज्योती क्लव,Nava Jiwan Joyti Club,,Hetauda- 6Chaughada,,,,,,,
Makwanpur,नेपाल शैक्षिक सहयोग कोष,Nepal Educational Support Trust,,"Hetauda-1,Chaughada",057-524466,,mail2nesthtd@ntc.net.np,www.nestworld.org,9845027367,Ganesh Kumar Shrestha,helping for school
Makwanpur,ग्रामिण विकास मञ्च,Rural Development Forum,,Gadhi-4,,,,,,,
Makwanpur,दिगो आपसी विकास केन्द्र,Digo Aapasi Bikas Kendra,,Hetauda-10,,,,,,,
Makwanpur,गौरब सामाजिक संस्था,Pride Social Association,,,,,,,,,
Makwanpur,नारिहीत आपसी विकास केन्द्र,Nari Hit Aapasi Bikas Kendra,,,,,,,,,
Makwanpur,सचेत यूवा समूह,Conscious Youth Group,,,,,,,,,
Makwanpur,फूलवारी श्रृजना केन्द्र,Phulbari Srijana Kendra,,,,,,,,,
Makwanpur,सयपत्री संचार समुह,Sayapatri Communication Group,,Aambhanjyang,,,,,,,
Makwanpur,प्रगतीशिल महिला आपसी विकास संस्था,Pragatishil Mahila Aapasi Bikas Sasntha,,,,,,,,,
Makwanpur,,,,,,,,,,,
Makwanpur,समाज जागरण सेवा संस्था,Social Awareness Service Organization ,,Bhimphedi-2,,,,,,,
Makwanpur,मानव कर्तव्य जागरण समाज,Human Responsibility Support Awareness Society,,Padampokhari-9,,,,,,,
Makwanpur,महिला आपसी शतिm विकास केन्द्र,Mahila Aapasi Shakti Bikas Kendra,,,,,,,,,
Makwanpur,सामुदायिक विकास संस्था,Community Development Organization Nepal,,,,,,,,,
Makwanpur,जन कल्याण समाज,Public Welfare Society,,"Hetauda-5,Bhairab Tole ",057-526649,,,,9845072502,Suryaman Ranjit,"women and children, health, education "
Makwanpur,शान्ति समाज केन्द्र,Peace Society Centre,,,,,,,,,
Makwanpur,मैत्री क्लव,Maitri Club,,Hetauda-11,,,,,,,
Makwanpur,युग प्रकास क्लव,Yug Prakash Club,,Hetauda-11,,,,,,,
Makwanpur,योङ्ग स्टार क्लव,Young Star Club,,,,,,,,,
Makwanpur,वागेश्वरी यूवा क्लव,Bageswori Youth Club,,Phaparbari-Bholeni-2,,,,,,,
Makwanpur,अस्मिता नेपाल ,Ashmita Nepal,,"Hetauda-4, Schoolroad",057-525257,,ashmitanepal_htd@yahoo.com,,,Bharathi Pathak,"women rights,human rights, children rights"
Makwanpur,जुनेली जन सांस्कृतिक मञ्च,Juneli Public Cultural Forum,,Makawapurgadhi-9,,,,,,,
Makwanpur,होस्टे हैंसे समूह,Hoste Hainse Group,,Hetauda-2,057-521293,,hoste_hainse@ntc.net.np,,9845031337,Madhu Acharya,"Children,"
Makwanpur,ग्रमिण सेवा समूह,Rural Service Group,,Namtar-3,,,,,,,
Makwanpur,समाज सेवा केन्द्र,Social Service Centre,,Hetauda-9,,,,,,,
Makwanpur,ग्रामीण जागरण तथा विकास संगठन,Rural Awareness and Development Orgaization,,Hetauda,,,,,,,
Makwanpur,सहयात्री नेपाल,Sahayatri Nepal,,Hetauda-1,,,,,,,
Makwanpur,ज्योति पुनर्जीवन समाज,Jyoti Punarjiwan Samaj,,Hetauda-2,,,,,,,
Makwanpur,सामाजिक आर्थिक तथा वातावरण विकास समाज,"Social, Economic and Environmental Development Society",,Hetuda,,,,,,,
Makwanpur,सामूदायिक बिकास समूह,Community Development Group,,"Hetauda-4, Hupra Chaur",,,,,,,
