Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
Kiran NamesteNepal,"Health,education and losing fooding for single women and their children.",Lalitpur,"I.J. ShilderVerboom, Holland.","6,000,000.00",,Women/Child
Kiran Nepal,Maintenanceof Kiran Hostel and sold necessary good.,Lalitpur,"KiranKinnderhouse in Nepal, Germany. Email: kbusch1@gmx.d e.","3,500,000.00",,Child home
Kiran Nepal,Kiran hostel,Lalitpur,"KiranKinnderhouse inNepal, Germany.","4,365,566.00",,Child home
Kopila - Nepal,Yatanapiditharuka lagi samastigat sahayog pariyojana.,"Kaski,Tanahun & Lamjung.","UN Office atGeneva, Switzerland,","1,283,250.00",,Conflictvictims
KopilaChildren's House,Kopila childhome.,Kaski,"Sam's House,USA,","4,380,239.00",,
Kopila Nepal,Nepal -Japan cultural exchange programme.,Kaski.,AFS InterculturalPrograms Japan.,"615,433.17",,Youth
Kopila Nepal,Safe homeproject,Kaski.,"Mw MLGJeneniskens, Netherlands.","491,760.00",,Women
Kopila Nepal,Nepal -Japan cultural exchange programme.,Kaski.,AFS InterculturalPrograms Japan.,"615,433.17",,Youth
KushudebuPublic Health Mission Nepal,Kushudebupublic health mission.,Solukhumbu,"a. WildernessSchool, Mrs. Sally Nobbs, Australia. b. Mr. TimJerram, Friends of Junbeshi, New Zealand. C. Craft Nepal N.Z., New Zealand.","5,324,800.00",,Health
KutumbaWelfare Company,Nepal high 1hope village project.,Kaski,"High 1 HopeVillage Project, Brigut and White Foundation, Korea.","19,956,470.00","900,000.00",Community development
Lachhit Nepal(FOCUS Nepal),Scholarshipprogram.,Kathmandu,"1. MMA Australia,2. Swiss Friends Mission. 3. FELM Nepal, 4. PCI, 5. BMS.","3,782,000.00","3,639,120.00",Education
LangtangChildren Home,Childrenhome and daycare centre for disbled childen.,Kathmandu,"StitchingLangtang Children Home, Holland. l8000000angtang childrenhome@h otmail.com, http://loesgoesne pal.blogspot.com.","6,442,113.60",,Child/Education/Health
Legal Aid AndResearch Centre (LARC),Sewing andembroideryTraining,Nawalparasi,"UshaInternational Ltd., India.","2,619,012.00",,Women
Lhomi Society,Lhomicommunity development program.,Sankhuwasabha.,"Wycliffe, Finland.","6,000,000.00",,Education
Loo Niva ChildConcernGroup,EducationSponsorship Program (ESP).,Lalitpur &Kathmandu.,INTERPEDIAFinland.,"1,760,000.00",,Child
Loo Niva ChildConcernGroup,EducationGovernance Project (EGP),Lalitpur,INTERPEDIAFinland.,"4,966,500.00",,Child/Education
Loo Niva ChildConcernGroup,Concern ForEducation(CFE).,Dadeldhura,INTERPEDIAFinland.,"9,350,000.00",,Child/Education
Loom Nepal,Wherewomen meet for change.,Kathmandu,"Global Fund ForWomen, USA.","2,450,000.00","100,000.00",Women
Love GreenNepal,Sustainableagro- livestock promotion project.,Kavrepalanchowk,"Love GreenJapan, Japan.","724,000.00",,Agriculture
Love GreenNepal,ShankheshorMaha Laxmi Secondary School Building construction project.,Kavrepalanchowk,"Chautary Japan,Japan","2,700,000.00","600,440.50",Education
Love GreenNepal,Purna KesharSecondary School building construction project.,Kapilvastu,Chautary Japan.,"3,150,000.00
124","500,003.50",Education
LumantiSupport Group for Selter,Detailsmentioned on audit report and audit report submitted to SWC.,"Kathmandu,Banked, Kaski, Morang, Palpa.",HomelessInternational,"155,970,082.00",,Women/children/Health
LumantiSupport Group for Shelter,"KohalpurWater, Sanitation and Hygiene Improvement Programme",Banke,"WASTE,Netherland","8,393,000.00",,Health
MahilaJagaran Sangh (MJS),EnhanceWomen Participation in Development Intervention (EWPD).,Ilam.,"The DevelopmentFund, Norway.","5,060,080.00",,Women
Maiti Nepal,Rescue andrepatriation processess of vulnerableand exploited children and women of traffickingand unsafe migration.,Kathmandu,"Aura Foundation,Canada.","1,601,995.00",,Women/Child
Maiti Nepal,Awarenessand advocacy campaigns to gain community and gatekeeper support against trafficking of children and women.,"Sunsari,Surkhet, Morang & Dang.","AustralilanEmbassy, Bansbari, Kathmandu.","1,672,500.00",,Child
Maiti Nepal,Right anddemocracy for one million girls.,"Kathmandu,Ilam, Jhapa, Morang, Parsa, Makawanpur, Kailali, Rupandehi, Banke, Nuwakot.","World ChildrenPrize Foundation, Swedeb.","2,700,000.00",,Child
Maiti Nepal,Bordermeasure for combating trafficking in person.,Ilam &Sunsari.,Profelliae.v.Germany.,"6,262,097.00",,Women/Child
Maiti Nepal,Bordermeasures to combat trafficking in persons.,Dhangadhi,"Rotary Australia(RAWCS), Australia.","3,730,879.00",,Women/Child
Maiti Nepal,"Interceptionpoint thankot, awareness campaign, prevention home Makawanpur and half-way home for the year 2014.",Kathmandu& Makawanpur.,"Bono Directhilfee.v., Germany.","4,772,736.29",,Women/Child
Maiti Nepal,Interventionalmeasures to combating unsafe migration and human trafficking.,Banke &Nuwakot.,"ChristilineOstimission, Switzerland.","4,797,460.50",,Women/Child
Maiti Nepal,Hospice.,Kathmandu& Jhapa.,"Viajes Surland,Spain.","930,485.40",,Women/Child
MaitreyaBuddha Enlightenment Society,MaitreyaBuddha Enlightenmen t Building Construction,Kathmandu,"The Corporationof Tien Chi She NG Dao Foundation, Taiwan","15,965,000.00",,Religious
Mama GharNepal,Extra activityand children home continuation.,Makawanpur.,"AktivelnNepale.v., Germany.","1,350,000.00",,Child home
Mamta ChildCare Trust (MCCT),Mamta ChildCare Trust (MCCT) support project.,Lalitpur,"GenerocityChurch Inc, Australia.","3,132,000.00",,Child home
Mamta ChildCare Trust (MCCT),Mamta ChildCare Trust (MCCT) support project.,Lalitpur,"GenerocityChurch Inc, Australia.","3,132,000.00",,Child home
ManasluEducation Co- operative Society,EducationSupportProgram.,Gorkha,Mrs. Catherline &Agnes (Frans & Swiss),"135,020.00",,Education
MandalaWelfare Society - Nepal,Scholarshipprogram for under privileged boys and girls in ruralNepal.,"Rasuwa,Kavre, Kathmandu& Kaski.",Nepal Kinderhilfee.v.,"4,500,000.00",,Education
MandalaWelfare Society - Nepal,Scholarshipprogram for underprivileg ed boys and girls in rural Nepal.,"Rasuwa,Kathmandu& Kaski.",Nepal Kinderhilfee.v.,"6,000,000.00",,Education
MansarvorEducational Foundation,Scholarshipprogram for under privileged children.,Kathmandu,"Graines D'Avenir,France.","3,000,000.00",,Education
MatrinChautari,Researchand interaction on media and research capacity development as well as institutional strengthening of Matrin Chautri.,Kathmandu,"Danida HumanRights and Good Governance Advisory Unit (DanidaHUGOU), Kathmandu.Email hugou@hugou.or g.np. Ph:4432131,4432348.","4,400,000.00",,Research
Medi Himal,"Swasthasewa, Saikshik bikas, sarsafai, bidhyalaya tatha sauchalaya jirna bhawanharu nirman karyakram, saskritik chhetraharuk o jagerna garna sathai chatrabritti pradan.",Solukhumbu& Gorakha.,"Medi Himal,Germany.",8337500,,Health/Education
Media Initiativefor Right,Grassrootsintervention for sustainable peace.,"Palpa,Kapilvastu & Rupandehi.","Peace Fund TrustSecretariat, Kathmandu.","9,999,000.00",,Peacebuilding
Media Initiativefor Rights,Strengthening Local Democircy throughh ward citizens forum.,"Sunsari,Dhankuta, Banke, Bardiya & Kailali.",The UnitedNations Democracy Fund (UNDEF).,"25,000,000.00",,Women
Mercy MissionHimalayas - Nepal (MMHN),MercyMissionAcademy.,Lalitpur,"Vision Nationals,USA.","3,262,050.00","454,300.00",Education
Mercy MissionHimalayas- Nepal (MMHN) Kusunti 13,Mercychildren home.,Lalitpur.,"Vision Nationals,USA.","5,228,685.00",,Child home
Mersy MissionHimalayas- Nepal (MMHN) Kusunti 13,MercyTraining Center (MTC).,Lalitpur,"Vision Nationals,USA.","2,751,800.00",,Education
Mercy Now,Mercy NowChild Home.,Kathmandu,"Mountainchild,USA.","3,500,000.00",,Child home
MethodistSociety of Nepal - MSN,Sophia home(children girls home).,Lalitpur,"Methodist MissionSociety, Singapore,","2,800,000.00","100,000.00",Women
Micah NetworkNepal,Promotionand Implementati on integral mission and CCMP.,Lalitpur,"Tear Netherlandand Micah Challenge International, Netherland. & Micah Challenge International, UK.","3,115,647.00","314,556.00",education
Milap,Kamdi VDCCommunity health and development project.,Banke.,Different doners,"2,957,100.00","704,230.00",Health/Community development
Mission Nepal,Siloamchildren home.,Palpa,Dr. FMD and Mrs.Anne Hoyal Australia as Nepali Family Incorporated. Australia.,"840,000.00","120,000.00",Child home
Mitini Nepal,EnsuringPropotional Representati on ofLBT in New Constitutional Assembly2013,Kathmandu,"Urgent ActionFund for Women's Human Rights, USA","400,314.56",,Women
Mitini Nepal,Enhancing the Capacity of Sexual & Gender Minorities.,Kathmandu.,Global Fund for Women's HumanRights.,"1,231,908.40",,Health(HIV/AIDS)
ModelCommunity Development Society,"Traning,construction and installations of two low- low cost greywaterreuse system for improved irrigation in Kumaltar Village, Kathmandu, Nepal.",Kathmandu.,"Japan WaterForum, Japan.","99,301.00","7,968.00",Women/Environment
MoonlightChildren Home,Child home,Lalitpur,"Warren & JessieGlover, Australia.","2,018,000.00","2,000.00",Child home
MotherTongue CentreNepal (MTCN),Mothertongue piple books publication project.,Lalitpur,"SIL International -Asia, NGO Association for Support.","830,000.00","51,000.00",Child/women/Youth
MotherlandDevelopment Nepal (MLDN),Off Seasonalbased Vegetable Farming for Landless Dalit Women,Sarlahi,"Maryknoll Fathersand Brothers, Nepal","230,000.00",,Agriculture/Women
Mountain Sprit,"Health,education & eco tourism project.",Udayapur,Mountain SpritDeutschland.,"3,482,000.00",,Health/education/eco tourism
MovingMountains Trust Nepal,Bapsa andBumbari Community Project.,Kathmandu& Solukhumbu.,"Moving MountainTrust, UK, mm@movingmou ntain.com","4,940,000.00","65,000.00",Community development
Multi -Dimensional Resource Center (MRC- NEPAL),promotion ofmodel farm and capacity building training of vegetable for enhancing livelihood of the disadvantage d people.,Kapilvastu &Chitwan,GIZ/STPP,"4,888,730.00","230,070.00",Agriculture
MultiDimensional Form for Community Awareness Nepal,SchoolBuilding Construction Support Project,Dolkha,ReckingerGeroges RemoteNepal,"6,750,000.00",,Education
MultiDimensional Resource Center (MRC- NEPAL),Improvinglivelihood of marginalized peoplethrough socio- ecological production land scape in Makawanpur District.,Makawanpur.,UNDP/GEF/SGP,"3,538,620.00","3,056,780.00",Incomegenerating/ land scape manageme nt
MultipurposeCommunity Development Service (MCDS),Health andEducation for Lay People (HELP),Lalitpur,"Transform AidInternational, Australia","6,419,472.00","2,383,883.00",Health
MultipurposeCommunity Development Service (MCDS),CommunityHealth and Engineering for Social Transformati on (CHEST),Kavrepalanchowk,"Operation AgriBMS, UK","3,809,855.00","1,262,587.00",Health
MultipurposeCommunity Development Service (MCDS),Communityhealth and engineering for social transformatio n (CHEST).,Kavrepalanchowk,"Operation AgriBMS, London.3809855","3,809,855.00","1,262,587.00",Health andsanitation
MultipurposeCommunity Development Service (MCDS),Communityhealth and education (CHEP).,Udayapur.,"Operation AgriBMS, London.3809855","2,543,618.00","1,064,428.00",Health
MuscularDystrophy Foundation - Nepal (MDF - Nepal),Empowerment and networking : building bridge between parents and professionals on muscular dystrophy (13AA045).,Lalitpur,"Abilis Foundation,Finland.","923,500.00","192,000.00",Health/Child
Mustang BonAction,Mustang BonAction school and hostel.,Mustang,"The Kalpa Group,Charles Ramble, UK.","6,501,930.50","825,917.28",Education/Health
"My Home""Children Home""",My home.,Kathmandu,"1. Ms La-Mafia,Spain. 2. Ms Elasibet Vives Sabete, Spain. 3. Ms Nepal Aki - Association, Spain. 4. Ms Kuoni - Denmark.5. Ms AlbertoSanmartin, Spain.6. Ms JorjeSarvint, Spain.","3,733,080.00",,Child home
Nagarhope,Nagarhopehouse construction project.,Kavre,NagarhopeIreland.,"1,311,870.00",,Education/Research/Co mmunity development/Women/C hild
Nagarhope,Nagarhopeprogram.,Bhaktapur,"NagarhopeInternational, Ireland, Tel: 016241328","390,470.00",,Children
Nagarhope,Nagarhope program.,Bhaktapur,"Nagarhope International, Ireland.",,,
NagarikAawaz,Specialinterest (Creating opportunity to conflict affected women to participate in community peacebuilding process).,"Lalitpur,Sunsari, Banke & Kaski.","Oak Foundation,Switzerland.","4,899,020.00",,Peacebuilding
Nagarik Awaz,Rebuildingsocial harmony in the community.,"Lalitpur,Dang, Ramechhap and Dhading.","Inititute forAusland - IFA, Germany.","3,664,900.00",,Peacebuilding
NamasteProjectChildrenHome,Child homeand educational support program.,Bhaktapur,"StichtingNamaste Project, The Netherlands.","2,071,204.65",,Child home
NamasteSweden Society (NSS),LionsWomen Skill Training Centre (LWSTC).,Kapilvastu,"Lions ClubInternational SV1001, Sweden.","3,612,000.00",,Women/Child
Namlo Nepal,Namloscholarship program.,Sindhupalchowk.,"Namlo Europa,Spain.","200,000.00",,Education
Namlo Nepal,ShreeChhema Devi Income generation Women Groupbuilding construction support Programme.,Sindhupalchowk.,"NamloInternational, USA.","2,353,705.00",,Community development
Namlo Nepal,Thani Devirural community based solar drinking water project.,Tanahun,"NamloInternational, USA.","6,149,756.28","814,000.00",Heath/Drinking water
Namlo Nepal,Namlo schoolBuilding Construction Support Program in Nepal.,Tanhun,"NamloInternational, USA, Denver4105 E.Florida Ave,-Suite 200. Denever (namlo@namlo.or g.,www.namlo.org","2,853,996.00","200,000.00",Education
NamsalingCommunity Development Centre,SustainableDevelopment Planning Project (SDPP).,"Ilam,Sunsari, Baglung, Mustang, Tanahun & Okhaldhung a.","The DevelopmentFund, Norway.","8,428,000.00",,Goodgovernance/ community forest/agric ulture/climat e
NationalAssociation of Community Electricity Users - Nepal (NACEUN),SamudaekSasthaharuk o Chhemata Bikas Karyakram.,"Paarvat,Palpa, Tanahun & Dadeldhura.","DeutscheGasellschaft Fur Internationale Zusammenarbeit (GIZ), Germany.","5,492,450.00","501,300.00",Community development
NationalAssociation of Community Electricity Users - Nepal (NACEUN),Humanresource for Promotion of productive use of electricity in community rural electrification entities of Nepal.,Syangja.,"DeutscheGesellschaft fur International Zusammenarbit (GIZ) GmbH, Germany.","6,004,050.00",,Electricity
NationalCampaign for Education - Nepal (NCE - Nepal),Exploringcases in implementing the EFA themes and DVD production.,Kathmandu,VSO - Nepal.,"545,000.00","83,750.00",Education
NationalCampaign For Education - Nepal,A study onpublic private partnership in education sector in Nepal.,Kathmandu,"Asia SouthPacific Association for Basic and Adult Education, India.","450,000.00",,Education/Advocacy
NationalCampaign For Education - Nepal,Enhancetraining employment and income generating opportunities for people with spinal cord injury.,Kathmandu,"EducationInternational AsiaPacific, Malaysia.","8,491,872.20",,Education/Advocacy
NationalCampaign For Education - Nepal,EPAprogress review and consultation on POST2015 education agenda.,Kathmandu,UNICEF-Nepal.,"1,382,430.00","421,633.00",Education
NationalChurch Fellowship of Nepal,Family Work,Lalitpur,"The FinnishEvangelical Lutheran Mission (FELM Nepal), felmnepal@felm. org, www.mission.fi and Asia CMS, UK. Www.asiacms.ne t","1,330,000.00","602,000.00",Education
NationalChurches Fellowship of Nepal,Womenleadership training of LTD,Lalitpur,"TEAM, USA,www.team.org and The Finnish Evangelical Lutheran Mission (FELM Nepal), www.mission.fi, felmnepal@felm. org","1,680,000.00","375,000.00",Women/Education
NationalChurches Fellowship of Nepal,Leadershipseminar/work shop.,Lalitpur,"PartnersLuternational, USA., www.partnersintl. org","127,500.00","34,375.00",Education
NationalChurches Fellowship of Nepal,Tikapurleadership training institute.,Kailali,"PartnersLuternational, USA., www.partnersintl. org","595,000.00","392,000.00",Education
NationalChurches Fellowship of Nepal,NepalEbenezer Theological Seminary.,Kathmandu.,"Finish LutheranEvangelical Mission, Finland, Church of Scotland UK, and Grace Chapel, US.","3,910,000.00","1,300,103.00",Education
NationalDevelopment and Honour Center - Nepal,Buildingconstruction project of Shramshil Vidhyapith Nepal.,Kathmandu,NepalhilfeBeilngries e.v.Germany.,"14,068,279.26","1,774,943.72",Education
NationalElection Observation Committee (NEOC),Constituentassembly election observation -2070,All 75districts.,"The AsiaFoundation, Bhatbhateni, Kathmandu.","24,505,600.00",,Electoral
NationalFederation of the Deaf Nepal (NDFN),Support forolder deaf people living in and around Kathmandu and Kirtipur.,Kathmandu.,"Deafway Project,UK.","1,712,550.00",,Disable
NationalFederation of the Deaf Nepal (NDFN),"Support forthe Navjyoti Deaf Primary School, Sindhuli.",Sindhuli,"Deafway Project,UK.","2,101,638.00","70,000.00",Disable
NationalFederation of the Deaf Nepal (NDFN),Isolated AreaResearch project.,"Okhaldhunga, Rukum, Solukhumbu& Mustang.","Deafway Project,UK.","231,500.00",,Disable(Deaf)
NationalFederation of The Disabled - Nepal (NFDN),AsianWorkplace Approach that Respect Equality (AWARE).,"Kathmandu,Lalitpur & Bhaktapur.","Disability RightsPromotional International (DRPI), York University, Canada. Www.yorku.ca","986,581.00",,Women(Disable)
NationalFederation of the Disabled - Nepal (NFDN),Advancingthe rights of women with desabilities through networking and capacity building advocacy.,Kathmandu,"ABILISFoundation, finland. abilis@abilis.fi, www.abilis.fi","1,130,000.00",,Disabilities(women)
NationalFederation of the Disabled Nepal (NFDN),Strengthening organization of disabled people in Nepal.,Kathmandu,"FFO, Norway.","3,390,200.00",,Disable
NationalFederation of Women Living with HIV and AIDS,"HamroSawal, Hamro Sahabhagita.","Banked,Chitwan, Kaski, Sunsari & Syangja","United NationChildren Fund(UNICEF),","5,036,272.00","20,000.00",Women
NationalIntegrated Development Association (NIDA),Rehabilitativeand vocational training and economic empowermen t for the persons with disabilities (REVOTE for PWDs),Tanahun.,"KadoorieCharitable Foundation (KCF), Hong Kong.",12562767,"1,629,243.00",Disable
National MediaDevelopment Center - NMDC,InvestigativeReporting Training to the Young Journalists of Nepal.,Kathmandu,"Embassy ofUnited State of America, Kathmandu.","441,073.00",,Journal
National MediaDevelopment Center (NMDC),Civiceducation reporting for mid career journalists.,Kapilvastu,"Friedrich - Ebert-Stiftung NepalOffice, Nepal.","220,000.00",,Journal
National Media Development Center,Empowering rural media persons including women on international journalism.,Udayapur,,,,
National MediaDevelopmentCenter,Empoweringrural media persons including women on intermediate journalism.,"Salyan,Jumla & Udayapur.","AmericanEmbassy, Kathmandu.","945,000.00","32,000.00",Journal
NationalMental Health Self-help Organization (KOSHISH),Rescuerehabilitation and reintegration of women/girls with mental distress.,Lalitpur,"1. Dr. Kevan andDr. Helen Thorley, UK. 2. Support Association of Koshish Nepal, Norway. 3. Jonthan and Cath Dixon, USA. 4. Wilens CJH, Netherlands. 5. General Board of Global Ministry, USA.","1,161,863.51",,Health(mental)
NationalMental Health Self-Help Organization (KOSHISH),"Rescue,rehabilitation and reintegration of women with mental distress.",Lalitpur.,"CullercoatsMethodistChurch, UK.","27,745.04",,Health(Mental)
NationalMental Health Self-Help Organization (KOSHISH),Mainstreaming mental health in Nepal through self advocacy (MeHSA).,Lalitpur,"Himal Partner,Norway.","1,484,172.00","164,908.00",Health(mental)
NationalMental Health Self-Help Organization (KOSHISH),SpecialInitiatives for Mental health in Nepal (SIM0.,Lalitpur,SupportAssociation of Koshish in Norway.,"1,725,000.00",,Health(mental)
NationalMental Health Self-Help Organization (KOSHISH),"Rescue,rehabilitation and reintegration of women/girls with mental distress.",Lalitpur,"1. Carbon Bryant,USA. 2. Kathrin Schmitz, Germany. 3. Anna Siemens, Canada.","150,126.06",,Health(mental)
NationalMental Health Self-Help Organization (KOSHISH),Braking thechain of stigma.,Lalitpur,"Dr. GuslanAward, Belgium.","4,912,500.01",,Health(mental)
NationalMental Health Self-Help Organization (Koshish),Rescue.Rehabilitation and reintegration of womenand girls with mental illness.,Lalitpur,"Friends ofKOSHISH, Germany.","2,008,009.50",,Health(mental)
NationalMission Commission of Nepal,Landpurchases.,Lalitpur.,"1, CMS, UK. 2,Dae Yong Lee, South Korea. 3, Chon Chun Soo, South Korea. 4, Ryong Kim, South Korea.","3,208,676.00","934,000.00",Religion
NationalMission Commission of Nepal,Landpurchase,Lalitpur,"a. CMS, UK,info@cms-uk b. Christ The Rock Christian Fellowship, Tel:01454326395c. Yong Yim Ngar, Hong Kong. d. Po Lam Cumberland Presbyterian Church, Hong Kong.e. Cumberland Presbyterian Church Hong Kong Presbetery, Hongkong. Tel:27838923","934,000.00","2,916,000.00",Religion
NationalPeace Campaign,PromotingDialogue on Nation Building in Nepal - Engaging PolicyMakers in the Constitutional Development Process,Kathmandu& Kavrepalanc howk,"Misereor,Germany","11,465,500.00",,Constitution
NationalRehabilitation Society for Disabled,Help programto disable equipment,Kathmandu,"L.D.S.C.,USA.","1,950,000.00",,Disable
NationalRehabilitation Society for Disabled,Incomegenerating training to disable.,Kathmandu,"Latter Day SaintCharities(LDSC),USA.","302,100.00",,Disable
NationalRehabilitation Society for the Disabled,Disable self-employment program,Kathmandu,"Latter Day SaintCharities (LDSC), USA.","420,000.00",,Disable
NationalResourceCenter for Non- Formal Education (NRC-NFE,Ruralconnectivity through CLCs for sustainabledevelopment project 2013-2014,Rupandehi &Kapilvastu.,"The UnitedNations Educational, Scientific and Cultural Organization (UNESCO), Thailand","1,938,003.00",,Education
NationalResource Center for Non- Formal Education(NRC - NFE,ContinuingEducation Program (CEP) for girls and women in Nepal.,Lalitpur,"Mikie HimalayanLiteracy Fund and RID 2750 Tokyo. Setagata Central, Japan.","278,442.00
146",,Education
NationalSociety for Earthquake Technology - Nepal (NSET),Workshop forregional cooperationin seismology and earthquake engineeringin South andCentral Asia.,Lalitpur,US EmbassyKathmandu.,"12,216,540.00",,Earthquake
NationalSociety for Earthquake Technology - Nepal (NSET),Workshop forregional cooperationin seismology and earthquake engineeringin South andCentral Asia.,Lalitpur,US EmbassyKathmandu.,"12,216,540.00",,Earthquake
NaturalResource Conflict Transformatio n Center - Nepal (NRCTC Nepal),NaturalResources Conflict Transformati on Project (NRCPT).,"Kanchanpur,Kailali, Dadeldhura, Doti, Bajura, Sankhuwasa bha, Banke, Bhaktapur, Kavre, Sindhupalch owk. Dolakha, Sarlahi, Sunsari, Bhojpur & Jhapa.","The McConnellFoundation, USA.","509,000.00",,Peacebuilding
NauralResource Conflict Transformatio n Center - Nepal,Organizational Strategic Planning (OSP).,"Kanchanpur,Kailali Dadeldhura, Doti, Bajura, Achham, Banke, Nawalparasi, Lalitpur, Bhaktapur, Kavre, Sindhupalch owk, Dolakha, Sarlahi, Sunsari, Dhankuta, Bhojpur, Sankhuwasa bha &Jhapa.","The McConnellFoundation, California.","8,400,000.00",,Peacebuilding/Nat ural resource manageme nt
Nava KiranPlus,Community Care Center (CCC) & Community Home Based Care(CHBC).,Kathmandu,"Sidaction,France.","6,720,000.00",,Health(HIV/AIDS)
Naya Goreto,Treat AsiaCommunityAward.,"Kathmandu,Rupandehi & Kaski.","Treat AsiaCommunityAward, Lalitpur.","750,000.00",,Health/Education
NazareneCompassionat e Ministries9NCM),ChildDevelopment Center (DCC).,"Ilam, Jhapa,Makawanpur, Kathmandu& Kailali.","Helping HandsGermany/NCM International, Germany.","8,221,516.00
148",,Child
Nepal -Norway Alumni Association (NNAA),Enhancing friendship and cooperation between Nepal and Norway through civil society initiatives.,Kathmadu,,,,Education/Research
Nepal AntiTuberculosis Association ,GermanNepal TB Project (GENETUP).,Kathmandu,KaratoriumTuberculoses in der welt e.v.Germany.,"8,280,000.00",,Health
NepalAradhana Samaj,Educationand living support for vulnerable and marginalized children.,Lalitpur,"Future for Nepal'sChildren e.v., Germany.","20,901,441.00",,Education
NepalAradhana Samaj,Karunaeducation support.,Lalitpur,Furute for Nepal'sChildren e.v.Germany.,"1,910,201.00",,Education
NepalAradhana Samaj,Care and support for the HIV infected children and women.,Lalitpur,"Kinder missionswerk, Germany.","7,891,000.00",,Health(HIV/AIDS)
NepalAssociation for the Welfare of the blind (NAWB),Brailleeducation Materials for the blind.,kathmandu,"Tokyo HelenKeller Association, Japan.","283,200.00",,Disable(Blind)
NepalAustralian Cervical Cancer Foundation (NACCF),Cervical andbreast cancer screeningand preventation project.,"Kathmandu,Kavre, Makawanpur, Mahottrai & Solikhumbu.",AustralianEmbassy Nepal DAP Program. Kathmandu.,"1,772,891.00",,Health
Nepal BibleSociety,"Translation,publication and distribution of bilde and related materials.",Lalitpur,"a. United BibleSocieties, UK. www.unitedbibles ocieties.org b. HOSANNA, USA. info@fbchmail.or g","12,986,700.00","48,615,745.00",Religion
Nepal CampusCrusade For Christ,a. Greatcommission training program. B. City vision project of 15 cities.,"a. Jhapa,Morang, Dhanusha, Chitwan, Bhaktapur, Lalitpur, Kathmandu, Kaski, Baglung, Rupandehi, Dang, Banked, Kailali & Doti","Help Asia,Philippines, helpaisa@mail.co m","7,383,316.75","912,055.80",Religion
Nepal ChildrenHelping Program (NCHP),"DrinkingWater Supply Project (DWSP), Baliya 9, Balchaur, Kailali.",Kailali,"Little Stars KinderBrauchen Zukunft e.v, Germany.","977,744.00",,Drinkingwater
Nepal ChildrenHelping Program,First aid helpprogramme(FAHP).,Kailali.,Little Stars KinderBrauchen Zukunft e.v.Germany. wernicke@little- stars.de.,"3,300,000.00",,Health/Education
NepalChristian Children Education Fellowship,Biblic trainingand community development program.,"Sarlahi,Kathmandu, Lalitpur, Bhaktapur, Kanchanpur, Kailali, Dolakha, Kavre, Sunsari, Jhapa, Sindhuli, Kaksi, Dang, Terhathum, Morang, Bara, Chitwan, Dipayal, Udayapur, Panchthar, Makawanpur& Dhanusha.","Asian ChildrenEducationFellowship,bryan@ihopm.com and Advanced Native Mission (ANM), www.advancingn ativemissions.co m, carl@adnamis.or g","4,568,400.00","1,500,000.00",Religion
NepalChristian Relief Services,Emergencyrelied support.,Baitadi,Samaritan;sPurse - Canada.,"1,833,520.00",,Disastermanageme n
NepalConstitution Foundation,Promoting onchildren and social protection issue in Nepal.,Kathmandu,"United NationsChildren's Fund (UNICEF), Lalitpur,","1,239,200.00",,Child
Nepal DailCommunity,"Food,Education & Health programme.",Bhaktapur,"Dail SocialWelfare Foundation, Korea.","10,600,000.00",,women/child/education/health
NepalDevelopment Research Institute (NDRI),Conduct thefacility based assessment for reproductive health commodities and services.,"Bajhang,Dadeldhura, Kanchanpur, Humla, Jajarkot, Bardiya, Mustang, Gorkha, Rupandehi, Rasuwa, Bhaktapur, Parsa, Solukhumbu, Ilam &","United NationsPopulation Fund (UNEPA), Lalitpur.","4,221,800.00",,Community development
NepalDevelopment Research Institute (NDRI),BaselineSurvery for the electoral support project.,"Sindhuli,Panchthar, Terathum, Baitadi, Salyan, Rukum, Gorkha, Parvat, Taplejung, Kalikot, Mustang, Bara, Parsa, Jhapa, Sunsari, Kailali, Banke, Nawalparasi, Kathmandu, Lalitpur & Bhaktapur.","United NationsDevelopment Programme (UNDP), Lalitpur.","8,907,700.00",,Climate/Agriculture/Floo d
NepalDevelopment Research Institute (NDRI),"Baselinesurvey and follow up survey in Hiladevi and Dimipokhari VDC in Ramechhap, Nepal.",Ramechhap,"GeorgeWashingtonUniveristy, USA.","548,046.00",,Climate/ecosystem/ Vulnerabilit/ Flood/Agric ulture.
NepalDevelopment Society,Socialdevelopment project.,"Morang,Sunsari, Saptari, Kapilvastu, Palpa.","RahmaInternational, Social Reform Society Kuwait., Kuwait.","7,540,000.00",,Community development
NepalDisabled Human Rights Center (DHRC NEPAL),Disabledpeople's advocacy for change (DPAC).,"Kailali,Dadeldhura, Bardiya, Dang, Kaski, Rupandehi, Dolakha, Rautahat, Jhapa & Panchthar.","Disability andDevelopmentPartner, UK.","11,449,205.00",,Disable
NepalDisabled Women Association (NDWA),women withrefugee camp in Nepal.,Jhapa &Morang.,"Women RefugeeCommission, USA,","1,909,050.00",,Disable/women
Nepal DonBosco Society,EducationHealth Village Development Community,Morang &Sunsari.,"DirezioneGenerate OpereDosco, Italy.","10,705,000.00","239,000.00",Education
Nepal EnglishLanguage Teachers' Association (NELTA),Englishaccess microscholar ship program.,Kaski,"U.S.StateDepartment, USA,","4,950,000.00",,Child
