District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Lamjung,समाज कल्याण संघ,Social Welfare Organization,,,,,,,,,
Lamjung,समाज सेवा केन्द्र,Social Service Centre,,"Taku, Tharke",,,,,,,
Lamjung,नेपाल पर्यावरण समुह,Nepal Environmental Gorup,,Bhote Odar,,,,,,,
Lamjung,ँभञ्ज्याङ्ग युुवा क्लब,Bhanjyang Youth Club,,Shree Bhanjyang,,,,,,,
Lamjung,समाज कल्याण केन्द्र,Social Welfare Centre,,,,,,,,,
Lamjung,नव प्रतिभा युवा क्लब,Nawa Prativa Youth Club,,Dura Danda-4,066-520409,,,,,,
Lamjung,खासुर सामुदायिक पर्यटन विकास तथा व्यवस्थापन समिति,Khakur Community Tourism Development and Management Committee,,Bajha Khet-1,,,,,,,
Lamjung,मध्य मस्र्याङ्गदी समन्वय तथा सरोकार समिति,Madya Marsyandi Coordination and Concern Committee,,Besi Shahar,066-520229,,,,,,
Lamjung,मानव अधिकार तथा ग्रामिण वातावरण संरक्षण समाज,Society for Protection of Human Rights and Rural Environment,,"Besisahar-2, Lamjung",066-520409,,,,,Buddhi Sagar Baral,"Human Rights, women rights,child right"
Lamjung,लमजुङ्ग एकिकृत सामुदायिक स्वास्थ्य केन्द्र,Lamjung Integrated Community Health Centre,,Besi Shahar-1,520452,,,,,,
Lamjung,लमजुङ्ग एकिकृत कृषि समूह,Lamjung Integrated Agricultural Group,,Besi Shahar-9,520328,,,,,,
Lamjung,वातावरण तथा सामुदायिक विकास केन्द्र,Centre for Environment and Community Development,,"Sundarbazar-4, Lamjung",066-690340,,cecodnepal@yahoo.com,,9856028606,Bishnu Kumar Shrestha,Rural and hilly areas
Lamjung,मस्र्याङ्गदी सामुदायिक विकास केन्द्र,Marsyangdi Community Development Centre,,Besi Shahar-1,520329/064-460147,,,,,,
Lamjung,सामाजिक चेतना तथा कार्य संयोजन नेपाल,Social Conciousness and Action-Network Nepal,,Chandisthan-6,066-520009,,scan_bhojrimal@yahoo.com,,9856028661,Bhoj Bd Rimal,Education
Lamjung,गरीवी निवारणको लागि एकिकृत जडिबुटि तथा कृषि विकास समूह,Forum Of The Integraded Development of Herbs and Agriculture for Poverty Alevation,,Besisahar-1,066-520745/066520431,,,,9846089744,Ramesh Ghalay,"farming, "
Lamjung,त्रिवेणी यूवा क्लब,Tribeni Youth Club,,Besisahar-2,520409,,,,,,
Lamjung,तल्लो ङादी जल विद्युत सहयोग तथा सरोकार समाज,Lower Ngadi Hydro Power  Co-operative And Concern Society ,,Nandi-5,,,,,,,
Lamjung,कालिका वातावरण एवं प्रकृति संरक्षण समाज,Kalika Environment and Natural Conservation Society,,Udipur-4,,,,,,,
Lamjung,जनचेतना अभिबृद्धि र विकास अध्ययन समिति,Jana Chetana Abhibirdhi and Bikas Adhdyan Samiti,,Besisahar-2,520388,,,,,,
Lamjung,ग्रामीण सामुदायिक विकास केन्द्र नेपाल ,Rural Community Development Centre,,Besisahar-1,066-520061,,lamjung.rcdc@gmail.com,,9846074108,Ishwari Pd Kadaria,"healtyh,education, Nutrition"
Lamjung,दलित सेवा संघ ,Dalit Welfare Organisation,,Besisahar,066-520222,,,,9846074273,Nabin Subarnakar,Education empowerment
Manag,हिमाली पर्यावरणीय समाज ,Mountain Environmental Society,,Chame-5,,,,,,,
Manag,मनाङ्ग विकास मञ्च ,Nanag Development Forum,,Dharapani-5,,,,,,,
Manag,चामे युवा कलब ,Chame Youth Club,,Chame-6,,,,,,,
Manag,मनाश्लु युवा क्लब ,Manaslu Youth Club,,"Dharapani-4, Nachai",,,,,,,
Manag,मस्र्याङ्गदी युवा क्लब ,Marsyandi Youth Club,,"Dharapani-1, Tal",,,,,,,
Manag,अन्नपूर्ण युवा क्लब ,Annapurna Youth Club,,"Tachai, Bagar Chhap-7, Tachai",,,,,,,
Manag,विपि तरुण युवा क्लब ,BP Tarun Youth Club,,"Thoche-8,Tilche",,,,,,,
Manag,हुमडे सेवा समिति ,Humade Service Committee,,"Manag-9, Humde",,,,,,,
Manag,डाँफे युवा क्लब ,Danfe Youth Club,,"Dharapani-7, Odar",,,,,,,
Manag,पिसाङ्ग युवा क्लब ,Pisang Youth Club,,Pisang-5,,,,,,,
Mustang,जोमसोम महिला समूह,Jomsom Women Group,,Jomson-5,096-440044,,—,,—,Mim Kumari Sherchan,
Mustang,जनमुक्ती युवा क्लब,Janamukti Youth Club,,"Jomson-3, Thini",069-440037,,—,,—,—,
Mustang,आमा समूह,Mother Group,,"Jomson-3, Thini",069-440123,,—,,—,—,
Mustang,जन कल्याण क्लब,Public Welfare Club,,"Marfa-8, Syang",9857650037,,—,,—,—,
Mustang,स्याङ्ग आमा समूह,Shang Mother Group,,Marpha-5,069-44039,,—,,—,Sun Devi Nepali,
Mustang,हिमाल पारी उत्पिडित समुदाय तथा शशक्तिकरण परिषद,Himal Pari Utpidit Samudaya tatha Sasaktikarna Parisad,,"Marfa-5, Puthang",069-440180,,—,,—,—,
Mustang,पुथाङ्ग आमा समूह,Puthang Mother Group,,"Marfa-5, Puthang",,,—,,—,—,
Mustang,जनहित युवा क्लब,Public Welfare Youth  Club,,Jomson-5,9746700712,,—,,—,—,
Mustang,बाह्र गाउँ समाज सेवा समिति,Barhagaun Social Welfare Association,,Jomsom-8,069-440073,,—,,9846051625,Chamb Hwang Gurung,
Mustang,संजिवनी सामुदायिक अध्ययन केन्द्र ,Sanjeevani Community Learning Centre,,jomsom-5,,,—,,9841253557,Purna Bd Thakali,
Mustang,मुस्ताङ्ग कल्याणकारी संघ ,Mustang Welfare Organization,,jomsom-8,069-440002,,—,,—,—,
Mustang,पाइला नेपाल ,Step-Nepal,,jomsom,069-440261,,grgsarmila@gmail.com,,9847638038,Sharmila Gurung,
Mustang,ठीनि आमा समुह ,Thini Mother Group,,Jomsom-2,069-440039,,—,,9847638147,Dipa Thakali,
Mustang,उत्थान आमा वहुमुखी सहकारी संस्था ,Puthang Mother Multi Cooperative Centre,,Marpha-5,069-440187,,—,,—,Mohan Kumari Sherchan,
Mustang,श्री जनमुक्ति यूवा क्लव ,Shree Janamukti Youth Club,,"Jomsom, Thakthini",069-440036,,—,,98477637741,Krishna Thakali,
Myagdi,राधाकृष्ण समुदायी क्लव,Radha Krishna Community Club,,"Jyamrk, Gauswara",,,,,,,
Myagdi,ग्रामीण वातावरण संरक्षण समुह,Rural Environment Conservation Group,,Bhagawati-5,,,,,,,
Myagdi,वैशालु वातावरण संरक्षण युवा क्लव,Baishalu Environment Protection Youth Club,,Arman,,,,,,,
Myagdi,जन जागृती वहुमुखी क्लव,Jana Gagrit Multiple Club,,Jyamruk,,,,,,,
Myagdi,ग्रामीण वातावरण तथा शसतिmकरण केन्द्र,Rural Environment and Empowerment Centre,,"Aarthunge-1, Benibazar",,,reecmyagdi@ntc.net.np,,,,
Myagdi,मिलन म्याग्दी ,Milan Myagdi,,"Aarthunge-1, Benibazar",,,milan_ngo@ntc.net.np,,,,
Myagdi,जन जागृति बहुमुखी क्लब,Jana Gagrit Multiple Club,,,,,,,,,
Myagdi,सगरमाथा नव युवा क्लब,Sagarmatha Nawa Youth Club,,Patlekhel,,,,,,,
Myagdi,जन जागरण युवा क्लब,Jana Jagaran Yuwa Club,,Narchyang-8,,,,,,,
Myagdi,मानव सरोकार विकास केन्द्र,Human Concern Development Centre,,,,,,,,,
Myagdi,श्री लाल युवा क्लब ,Shree Lal Youth Club,,Kuhu-2,069-680108,,,,,,
Myagdi,कालीगण्डकी नाट्य तथा विकास मञ्च ,Kali Gandaki Drama and Development Forum,,"Aarthunge-2, Benibazar",069-520895,,,,,,
Myagdi,मालिका युवा क्लब ,Malika Youth Club,,"Babiyachur-8, Sahasradhara",,,,,,,
Myagdi,धौलागिरी ग्रामीण विकास कार्यक्रम ,Dhulagiri Rural Development Programme,,Bim-1,,,,,,,
Myagdi,कुमाल्डी उद्धार समिति ,Kumaldi Rescue Committee,,"Pulachur-9,Kumal",069-680262,,,,,,
Myagdi,छहारी युवा क्लब ,Chhahari Youth Club,,"Okharbote-1,Phulbari",069-680357,,,,,,
Myagdi,म्याग्दी सामुदायिक स्रोत विकास केन्द्र ,Myagdi Community Resource Development Centre,,"Aarthunge-2, Benibazar",,,,,,,
Myagdi,दिगो वातावरण संरक्षत तथा स्रोत व्यवस्थापन केन्द्र ,Sustainable Environment Protection and Resource Management Centre,,"Aarthunge-2, Benibazar",069-520937,,,,,,
Myagdi,अपाङ्ग संघ म्याग्दी ,Disabled Association,,"Aarthunge-2, Benibazar",,,,,,,
Myagdi,कालीगण्डकी आमा समूह ,Kali Gandaki Mothers Group,,"Aarthunge-1, Benibazar",,,,,,,
Myagdi,पहाडी स्रोत विकास केन्द्र ,Hilly Resource Development Centre,,"Aarthunge-1, Benibazar",,,,,,,
Myagdi,लघु व्यवसायका लागि प्राकृतिक श्रोत व्यवस्थापन तथा लैङिगक सचेतनामा दिगो पहुच (संगम म्याग्दी),Natural Resource Management and Sustainable Access in Gender Consciousness for Micro Business ,,"Aarthunge-2, Benibazar",,,,,,,
Myagdi,सामुदायिक विकास केन्द्र ,Community Development Centre,,"Aarthunge-2, Benibazar",,,,,,,
Myagdi,धौलागिरी पर्यटन विकास बोर्ड ,Dhaulagiri Tourism Development Board ,,"Aarthunge-1, Benibazar",,,,,,,
Myagdi,दलित सेवा केन्द्र ,Dalit Service Centre,,"Aarthunge-2, Benibazar",,,,,,,
Myagdi,कलावती छात्रवृद्धि कोष ,Kalawati Schoolarship Fund,,Pulachur-9,,,,,,,
Myagdi,कोसेली बाल प्रतिभा सम्बर्धन संस्था ,Koseli Children Genious Save Association,,"Aarthunge-2, Benibazar",,,,,,,
Myagdi,हिमाली युवा क्लव ,Himali Youth Club,,"Bim-6, Dandagaun",9745039515,,,,,Yam Kumar Jugjali,
Myagdi,प्रगतिशील युवा क्लव ,Pragatishil Youth Club,,"Arman -8, Kimchaur",069-520599,,,,,Khar Bd. Rokka,
Myagdi,जनशक्ति विकास केन्द्र ,Human Resource Development Centre,,"Aarthunge-1, Benibazar",069-520141,,,,,,
Myagdi,महारानी पौवा युवा क्लब ,Maharani Pauwa Youth Club,,Rakhu Piple-4,,,,,,,
Myagdi,दलित उत्प्रेरण समाज ,Dalit Motivation Society,,"Aarthunge-1, Benibazar",069-520050,,,,,,
Myagdi,सामाजिक विकास केन्द्र ,Social Development Centre,,Aarthunge-2,,,,,,,
Myagdi,नेपाल दलित विकास सेवा केन्द्र ,Nepal Dalit Development Service Centre,,,,,,,,,
Nawalparasi,सामाजिक विकास तथा अनुसन्धान केन्द्र,Social Development and Research Centre,,Gaindakot-2,,,,,,,
Nawalparasi,विजय विकास श्रोत केन्द्र,Vijaya Development Resource Centre,,Gaindakot-8,,,,,,,
Nawalparasi,त्रिनेत्र सामुदायीक विकास प्रतिष्ठान,Trinetra Community Development Foundation,,Gaindakot-8,,,,,,,
Nawalparasi,सहयात्री सामाजिक आर्थिक विकास केन्द्र,Sahayatri Social Economic Development Centre,,Gaindakot-7,,,,,,,
Nawalparasi,नन्द भाउजु महिला विकास केन्द्र,Nanda Bhauju Women Development Centre,,"Kolhuwa, Itaura-7",,,,,,,
Nawalparasi,कुमारीवर्ती सामुदायिक सहयात्रा,Kumarwarti Samudaik Sahayatra,,Kolhuwa-4,,,,,,,
Nawalparasi,वि.पि.स्मृति युवा क्लव,B.P. Memorial Youth Club,,Makar,,,,,,,
Nawalparasi,अभियान सेवा केन्द्र,Campaign Service Centre,,Makar-1,,,,,,,
Nawalparasi,बन्धु युवा क्लव,Bandhu Youth Club,,Makar,,,,,,,
Nawalparasi,बहुउद्धेश्यिय सामाजिक विकास सेवा संस्था,Multipurpose Social Development Service Organization,,Ramgarm-5,,,,,,,
Nawalparasi,इन्द्रेणी सामाजिक विकास मञ्च,Indreni Social Development Forum,,Panchanagar-2,,,,,,,
Nawalparasi,कालिका मन्दिर कालिका आश्रम,Kalika Mandir Kalika Monastery,,Gaindakot-8,,,,,,,
Nawalparasi,सुन्निमा विकास परिषद,Sunnima Development Council,,Gaindakot-2,,,,,,,
Nawalparasi,ग्रामीण समाज स्वाबलम्बन विकास केन्द्र,Rural Society Self Reliant Development Centre,,Kolhuwa-7,,,,,,,
Nawalparasi,जनचेतना सामुदायिक विकास केन्द्र,Community Development Centre Of Public Awareness ,,Rajhar-3,,,,,,,
Nawalparasi,स्वर्णिम सामुदायिक विकास मञ्च,Swornim Community Development Forum,,Pachanagar-3,,,,,,,
Nawalparasi,ग्रामीण सामुदायिक विकास केन्द्र,Rural Community Development Centre,,"Bulingtar, Bajhagara-5",,,,,,,
Nawalparasi,ग्रामिण विकासका लागि प्रतिवद्ध टिम नेपाल,Committed Team for Rural Development Nepal ,,Sunawal-4,,,,,,,
Nawalparasi,सहमति,Sahamati,,Gaindakot-5,,,,,,,
Nawalparasi,युनाइटेड युवा क्लव,United Youth Club,,Deurali-3,,,,,,,
Nawalparasi,हिमालयन सामुदायीक विकास मञ्च,Himalyan Community Development Forum,,"Shivamandir, Thanatole-3",,,,,,,
Nawalparasi,मैत्री सामुदायिक विकास मंच,Maitri Community Development Forum,,Gaindakot-1,,,,,,,
Nawalparasi,विकल्प सेवा संस्था,Alternate Service Institute,,Rupauliya-3,,,,,,,
Nawalparasi,समाज कल्याण युवा सदन,Youth Association For Social Welfare ,,Tribeni-3,,,,,,,
Nawalparasi,प्रभात समाज कल्याण केन्द्र,Prabhat Society Welfare Centre,,Gaindakot-5,,,,,,,
Nawalparasi,नारायणी समाज विकास केन्द्र,Narayani Social Development Centre,,Gaindakot-6,,,,,,,
Nawalparasi,आर्दश विकास समाज नेपाल,Aadarsha Development Society Nepal,,Gaindakot-1,,,,,,,
Nawalparasi,नव जागृती फुलवारी युवा क्लव,Nawa Jagrit Phulbari Yuwa Club,,Kolhuwa-7,,,,,,,
Nawalparasi,छहारी सामुदायीक विकास केन्द्र,Chhaharee Community Development Centre,,Aamarapuri,,,,,,,
Nawalparasi,नव प्रतिभा समुदायिक विकास केन्द्र,Nawa Prativa Community Development Centre,,Belahani-8,,,,,,,
Nawalparasi,मुकुन्दसेन सामुदायिक विकास प्रतिष्ठान,Mukundsen Community Development Foundation,,Gaindakot-4,,,,,,,
Nawalparasi,दिप ज्योती समाज सेवा केन्द्र,Deep Jyoti Society Service Centre,,Rakuwa-1,,,,,,,
Nawalparasi,सामुदायिक एकिकृत विकास समाज,Society For Integrated Community Development,,Rajahar-1,,,,,,,
Nawalparasi,आत्म निर्भर मिलन केन्द्र,Aatma Nirvar Milan Kendra,,"Rajahar, Pripahar-3",,,,,,,
Nawalparasi,मौलाकालि समाज बिकास केन्द्र,Maula Kali Social Development Centre,,Gaindakot-1,,,,,,,
Nawalparasi,स्थानिय विकास संगठन,Local Development Organization,,Aamarapuri-16,,,,,,,
Nawalparasi,मानव स्रोत विकास केन्द्र,Human Resource Development Centre,,Naya Belhani-7,078-555059,,,,,,
Nawalparasi,विशासय यूवा क्लव,Bishasaya Youth Club,,Sunawal-6,,,sankar_dhakal@yahoo.com,,,,
Nawalparasi,दुर्गा यूवा क्लव,Durga Youth Club,,Tribeni-7,078-560187,,,,,,
Nawalparasi,गंगेश्वर महादेव नारायणी धाम,Gangeswor Mahadev Narayani Dham,,Kumarwarti-9,,,,,,,
Nawalparasi,जन जागृति महिला समूह,Jana Jagrit Mahila Samuha,,Dibyapuri-6,,,,,,,
Nawalparasi,उत्तम महिला विकास मुल समिति,Uttam Mahila Bikas Mul Samiti,,Jahada-3,078-520769,,,,,,
Nawalparasi,नेपाल पर्यावरण संरक्षण समाज,Nepal Environment Conservation Society,,Ramgram,078-520231,,,,,,
Nawalparasi,जन जागरण तथा समाज विकास केन्द्र,Jana Jagaran and Social Development Centre,,Ramgram-1,078-520957,,sayapatri2004@yahoo.com,,,,
Nawalparasi,समविकास महिला उत्थान केन्दं,Women Equal DevelopmentAnd Upliftment Centre,,Shivamandir-3,078-540249,,,,,,
Nawalparasi,सार्प नेपाल,Sarp Nepal,,Ramgram-3,078-520447,,,,,,
Nawalparasi,चौतारी सामाजिक विकास केन्द्र नेपाल,Chautari Social Development Centre,,Rajahar-8,078-545002,,,,,,
Nawalparasi,सामाजिक सशक्तिकरण मञ्च,Social Empowerment Forum,,Sunawal-2,056-501212,,ishowari2000@yahoo.com,,,,
Nawalparasi,शिष्टाचार बोटे उत्थान केन्द्र,Shistachar Bote Utthan Kendra,,Aagyoli-5,,,,,,,
Nawalparasi,राइजिङ्ख स्टार सामुदायिक विकास प्रतिष्ठान,Rising Star Community Development Trust,,Ramnagar-1,,,,,,,
Nawalparasi,नारी कल्याण एकल महिला पैरवी मञ्च  ,Women Welfare Single women Advocacy Forum,,Gaindakot-4,056-501782,,,,,,
Nawalparasi,ग्रामीण विकास स्रोत केन्द्र ,Rural Development Resource Centre,,Makar-7,,,,,,,
Nawalparasi,तराई सामुदायिक विकास सेवा केन्द्र ,Tarai Community Development Service Centre,,Ramgram-5,,,,,,,
Nawalparasi,जनज्योति नेपाल ,Jana Jyoti Nepal,,Prasauni-9,078-555105,,,,,,
Nawalparasi,कावासोती युवा क्लब ,Kawasoti Youth Club,,Kawasoti-5,078-540002,,,,,,
Nawalparasi,महानदर्शन नेपाल ,Great Vision Nepal,,Ramnagar-1,,,,,,,
Nawalparasi,वन तथा वातावरण सहभागिता संघ ,Foresty and Environment Participation Federation,,Sunawal-1,,,,,,,
Nawalparasi,समविकास महिला उत्थान उत्थान केन्द्र ,Women Equal Development And Upliftment Centre,,Shivamandir-3,,,,,,,
Nawalparasi,सौगात सामुदायिक विकास प्रतिष्ठान ,Saugat Academy For Community Development ,,Tilakpur-6,078-590006,,,,,,
Nawalparasi,जागृति बाल तथा युवा सरोकार नेपाल ,Jagrit Child and Youth Concerned Nepal,,Pragatinagar-3,078-575022,,,,,,
Nawalparasi,अभ्युदय सामाजिक विकास केन्द्र ,Abhyudaya Social Development Centre,,Mukundapur-4,,,,,,,
Nawalparasi,सिर्जनशील विकास समाज ,Innovative Development Society,,Kumarwarti-5,078-590056,,aknarayan_poudal@yahoo.com,,,,
Nawalparasi,विहानी युवा क्लव ,Bihani Youth Club,,"Kawasoti-7, Magartole",,,,,,,
Nawalparasi,सामाजिक परिवर्तनका लागि सरोकार केन्द्र नेपाल ,Concern Centre For Social Change Nepal,,Amarapuri-5,078-545299,,adhi_deepak@yahoo.com,,,,
Palpa,पछौटेपन उन्मुलन समाज ,Backwardness Eradication Society,,"Bakamlang-9, palpa",075-522738,075-522738,besnepal@yahoo.com,,9757060172,Gobinda Pd Pandey,education
Palpa,ग्रामिण जन सेवा कार्यक्रम,Rural Public Service Program,,"Tansen-3, Bhimsen Tole",9847043955,NA,NA,,NA,NA,NA
Palpa,महिला कल्याण संघ,Women Welfare Association,,Mashyam 1,075- 522824,,,,,Sharada Shrestha,empowerment
Palpa,ग्रामिण विकासका लागि बहुउद्धेश्यीय कार्यक्रम,Multipurpose Program for Rural Development,,"Thimur-3, Deurali",9847028021,NA,NA,,NA,NA,NA
Palpa,"सामाजिक स्रोत बिकास केन्द्र, नेपाल ",Social Resource Development Centre,,"Tansen-4, Bishalbazar",075-521626,NA,NA,,NA,NA,NA
Palpa,जन सेवा युवा क्लव,Public Service Youth Club,,"Dandakot-6, Gajbandi",NA,NA,NA,,NA,NA,NA
Palpa,स्वास्थ्य शिपमूलक शैक्षिक विकास केन्द्र,Health and Technical Education Development Centre,,Tansen-5,075-522687,,tansen12palpa@gmail.com,,9857060335,Ram Bd Raut,"education, health, training"
Palpa,असहाय महिला उत्थान केन्द्र,Helpless Women Upliftment Centre,,"Darchha-6, Tandi",9847028185,NA,NA,,NA,NA,NA
Palpa,सामुदायिक विकास सेवा संघ,Community Development Service Association,,Bhuwanpokhari,075-690518,075-521636,ld_darlami@yahoo.com,,9747045965,Lal Bd Darlami,"agriculture, health,environment, "
Palpa,जलस्रोत सम्बर्धन केन्द्र ,Water Resource Protection Centre,,"Tansen-4, Silkhantole",9847028153,NA,NA,,NA,NA,NA
Palpa,सिर्जनशिल युवा जगत,Innovative Youth ,,"Baldhengadhi-3, Sukadmar",NA,NA,NA,,NA,NA,NA
Palpa,विविध कार्यक्रम समन्वय केन्द्र,Various Program Coordination Centre,,"Tansen-6, Basantapur",9847028835,NA,NA,,NA,NA,NA
Palpa,सर्वदीप ज्योति युवा क्लब  ,Sarwadeep Jyoti Youth Club,,"Gadakot-2, Foksinkot",NA,NA,NA,,NA,NA,NA
Palpa,जनमुखी युवा समाज ,People Oriented Youth Society,,"Darchha-1, Kedali",NA,NA,NA,,NA,NA,NA
Palpa,दिगो विकास कार्यक्रम ,Sustainable Development Program,,"Tansen-4, Silkhantole",9847928393,NA,NA,,NA,NA,NA
Palpa,ज्ञानपुञ्ज युवा समाज ,Gyan Punja Youth Society,,Gejha-8,NA,NA,NA,,NA,NA,NA
Palpa,आर्यभञ्ज्याङ्ग परोपकार केन्द्र ,Aaryabhanjyang Paropakat Kendra,,"Nayarnamatales-1, Aaryabhanjyang",NA,NA,NA,,NA,NA,NA
Palpa,नेपाल कुमाल समाज सुधार कार्य समिति ,Nepal Kumal Society Improvement Program Committee,,Tansen-11,NA,NA,NA,,NA,NA,NA
Palpa,विकासका लागि महिला सशक्तिकरण  ,Women Empowerment for Development,,Tansen-4,NA,NA,NA,,NA,NA,NA
Palpa,"वातावरण तथा सामाजिक सरोकार केन्द्र, नेपाल ","Environment and Social Concern Centre, Nepal",,"Tansen-4, Barudkhan",075-521869,NA,NA,,NA,NA,NA
Palpa,सामुदायिक विकास कार्यक्रम ,Community Development Program,,"Dovan-5, Paise danda",9847029782,NA,NA,,NA,NA,NA
Palpa,दोभान युवा क्लब ,Dovan Youth Club,,"Dovan-5, Botegaun",NA,NA,NA,,NA,NA,NA
Palpa,ग्रामीण क्षेत्रको लागि स्वरोजगार संगठन ,Self-Employment Association For Rural Area,,"PalungMainadi-5, Batase",075-522413,NA,NA,,NA,NA,NA
Palpa,वातावरणीय सुधार संघ ,Environmental Reform Association,,palpa,9747002505,,,,9847029773,Tikaram Bhandari,"water, empowerment, livestock"
Palpa,जनसेवी युवा क्लब ,Public Service Youth Club,,"Pipaldanda, Ramdi",NA,NA,NA,,NA,NA,NA
Palpa,मौरीपालन तथा वातावरण संरक्षण केन्द्र ,Bee Farming and Environment Protection Centre,,Madan Pokhara-5,9857060261,NA,NA,,NA,NA,NA
Palpa,ग्रामीण आर्थिक विकास संघ,Rural Economic Development Association,,Palung Mainadi-6 ,075-521610,NA,NA,,NA,NA,NA
Palpa,एकिकृत सामुदायिक विकास कार्यक्रम ,Integrated Community Development Program,,"Tansen-15, Asantole",9847029899,NA,NA,,NA,NA,NA
Palpa,सामाजिक विकास मञ्च नेपाल ,Social Development Forum Nepal,,"Bhuwanpokhari-4,Bangha",NA,NA,NA,,NA,NA,NA
Palpa,ग्रामीण स्वावलम्बन विकास कार्यक्रम ,Rural Self Reliant Development Program,,"Humin-6, Huminbazar",NA,NA,NA,,NA,NA,NA
Palpa,जनविकास तथा परिचालन केन्द्र नेपाल ,People's Development and Mobilization Centre Nepal,,"Sahalkot-4, Palpa",075-521869,,jbpksahalkot@yahoo.com,,9857060469,Devilal Lamichhane,"agriculture, water, forest"
Palpa,हात्तीलेक वातावरण विकास केन्द्र ,Hattilek Environment Development Centre,,"Singneraha-4, Purbakhala",9847043964,NA,NA,,NA,NA,NA
Palpa,कालीगण्डकी युवा क्लब,Kaligandaki Youth Club,,"Darchha-8, Kheptar",075-529411,NA,NA,,NA,NA,NA
Palpa,सेतो गुराँस बाल बिकास सेवा,Seto Gurans Child Development Service,,"Tansen-6, Basantapur",075-520582,NA,NA,,NA,NA,NA
Palpa,संङ्गीन जनसाँस्कृतिक परिवार ,Sangin Public Cultural Family,,"Barikot-5, Yogipokhari",NA,NA,NA,,NA,NA,NA
Palpa,दिगो सामुदायिक विकासका लागि एकता ,Unity for Sustainable Community Development ,,"Tansen-3, Bishalbazar",9847029770,NA,NA,,NA,NA,NA
Palpa,इन्द्रेणी समाज केन्द्र ,Indreni Samaj Kendra,,"Jhiruwas, palpa",075-520091,075-520091,iskpalpa@yahoo.com,,9857060156,Daman Singh Thapa,"education, health, training"
Palpa,महिला जागरण संघ पाल्पा ,Women Liberalization Forum,,"Tansen, palpa",075-520776,,,,9847067374,Ganga Poydel,livestock 
Palpa,नेत्रज्योति युवा क्लब ,Netra Jyoti Youth Club,,"Galdha-6, Dhunganabesi",NA,NA,NA,,NA,NA,NA
Palpa,ग्रामीण क्षेत्र उत्थान परिषद ,Rural Area Upliftment Council,,"Gandakot-7, Sakhadi",NA,NA,NA,,NA,NA,NA
Palpa,ग्रामीण विकास सेवा केन्द्र ,Centre for Rural Development Service,,Tansen-3,075-520009,,crdspalpa@yahoo.com,,9847029877,Sudarshan Koirala,"water,education, agriculture"
Palpa,जागृति महिला विकास समाज ,Jagriti Mahila Bikas Samaj,,"Tansen-11, Barudkhana",075-520302,NA,NA,,NA,NA,NA
Palpa,कृषि प्रचार सेवा ,Agricultural Advertisement Service,,"Tansen-11, Barudkhana",075-520585,NA,NA,,NA,NA,NA
Palpa,जनगोरेटो साँसकृतिक युवा क्लब ,Jana Goreto Cultural Youth Club,,"Khanigaun-6, Daitalung",NA,NA,NA,,NA,NA,NA
Palpa,ग्रामीण विकास पाल्पा ,Rural Development Palpa,,"Bhagwatitole-8, Tansen",075-520467,075-520467,,,9847029152,Somnath Aryal,"environment, education, Environment"
Palpa,नवसमाज विकास केन्द्र ,Nawa Samaj Development Centre,,"Darchha-1, Rajghara",075-521573,NA,NA,,NA,NA,NA
Palpa,सामाजिक स्रोत विकास कार्यक्रम ,Social Resource Development Program,,Tansen-4,NA,NA,NA,,NA,NA,NA
Palpa,ग्रामीण समाज उत्थान कार्यक्रम ,Rural Society Upliftment Program,,"Tansen-8, Bhagwatitole",075-520608,NA,NA,,NA,NA,NA
Palpa,झेस्काङ विकास समिति ,Jheskang Development Committee,,"Pipaldanda-8, Jheskang",075-691545,,,,984737023,Tulsiram Rana,"health, environment, communication,"
Palpa,जनसेवा संस्था ,Public Service Organization,,"Rampur-9, Kisanbari",NA,NA,NA,,NA,NA,NA
Palpa,आत्मनिर्भरताको लागि सहयोग कार्यक्रम ,Helping Program for Self Dependent,,"Tansen-5, Pragatinagar",075-520973,NA,NA,,NA,NA,NA
Palpa,ग्रामीण सामुदायिक विकास कार्यक्रम ,Rural Community Development Program,,"Bandipokhara-2,Motindanda",9847028153,NA,NA,,NA,NA,NA
Palpa,एकता युवा क्लब ,Ekata Youth Club,,"Chhappani-6, Palpa",075-521590,075-521364,,,9847028390,Bhesraj Timilsina,"environment, health, education"
Palpa,जनमुखी युवा क्लब ,People Oriented Youth Club,,"Bandipokhara-4, Gewa",9847020406,NA,NA,,NA,NA,NA
Palpa,सामाजिक विकासका लागि सहयोग अभियान ,Helping Campaign for Social Development ,,Tansen-4,NA,NA,NA,,NA,NA,NA
Palpa,बाल तथा महिला सरोकार केन्द्र ,Child and Women Interest Centre,,"Tansen-2, Bandigyantole",075-521574,NA,NA,,NA,NA,NA
Palpa,महिला बाल विकास कार्यक्रम ,Women And Child Development Programme,,"Tansen-6, Basantapur",075-520582,NA,NA,,NA,NA,NA
Palpa,ग्रामीण विकासका लागि सहयोगी हातहरु ,Helping Hands for Rural Development,,"Tansen-8, Bhagwatitole",075-522667,,hrdpalpa@yahoo.com,,9847119429,Shanti Nepal,"Poverty reduction, empowerment"
Palpa,संस्थागत विकास विस्तार संगम ,,,"Tansen-4, Makhantole",9847028854,NA,NA,,NA,NA,NA
