Year,District,Region,Sector,NGOs Name
2060,Udayapur,"Eastern
Region","Community and Rural
Development",Shree Samaj Sewa Kendra
2064,Okhaldhunga,"Eastern
Region","Community and Rural
Development","Shree Samaj Sewi Sansari Yuwa
Club"
2064,Bhaktapur,"Central
Region","Community and Rural
Development",Shree Samaj Sudhar Samiti
2054,Panchathar,"Eastern
Region","Community and Rural
Development",Shree Samaj Sudhar Samuh
2052,Dang,"Mid Western
Region","Community and Rural
Development",Shree Samaj Sudhar Sewa Sangh
2064,Kailali,"Far Western
Region","Community and Rural
Development",Shree Samaj Uthhan Sangh Nepal
2056,Rupandehi,"Western
Region","Community and Rural
Development",Shree Samaj Utthan Karyakram
2056,Sarlahi,"Central
Region","Community and Rural
Development",Shree Samaj Wikash Kendra
2057,Dhanusha,"Central
Region","Community and Rural
Development","Shree Samajik Anusandhan Tatha
Bikash Pratishathan"
2062,Jumla,"Mid Western
Region","Community and Rural
Development",Shree Samajik Bahu Bikas Manch
2057,Baitadi,"Far Western
Region","Community and Rural
Development","Shree Samajik Bikas Tatha
Sachetana Samaj"
2063,Bajhang,"Far Western
Region","Community and Rural
Development","Shree Samajik Bikaska lagi Yuwa
Nepal"
2063,Bajhang,"Far Western
Region","Community and Rural
Development","Shree Samajik Karyakarta haruko
sanstha Nepal (Asha Nepal)"
2056,Rasuwa,"Central
Region","Community and Rural
Development","Shree Samajik Sarokar Tatha
Parichalan Kendra"
2054,Dolakha,"Central
Region","Community and Rural
Development","Shree Samajik Sewaka Lagi
Chamkilo Sahakari Sangh Nepal"
,Sindhuli,"Central
Region","Community and Rural
Development",Shree Samudayik Bikas Karyakram
2056,Gorkha,"Western
Region","Community and Rural
Development",Shree Samudayik Bikas Kendra
2061,Arghakhanchi,"Western
Region","Community and Rural
Development",Shree Samudayik Bikas Kendra
2063,Baitadi,"Far Western
Region","Community and Rural
Development",Shree Samudayik Bikas Kendra
2057,Achham,"Far Western
Region","Community and Rural
Development","Shree Samudayik Bikas Sewa
Kendra"
2056,Banke,"Mid Western
Region","Community and Rural
Development","Shree Samudayik Jagarana Ra
Rpunasthapana Kendra"
2061,Makwanpur,"Central
Region","Community and Rural
Development","Shree Samudayik Jagarana Samaj
Tatha Bikas Nepal"
2056,Arghakhanchi,"Western
Region","Community and Rural
Development",Shree Samudayik Kalyan Kendra
,Dhanusha,"Central
Region","Community and Rural
Development","Shree Samudayik Pariwar Kalyana
Sangh"
2056,Kathmandu,"Central
Region","Community and Rural
Development","Shree Samudayik Sahayog
Byabasthapan Tatha Janachetana
Kendra"
2063,Kailali,"Far Western
Region","Community and Rural
Development","Shree Samudayik Samuha Jilla
Ssamanyav Samiti"
2062,Kaski,"Western
Region","Community and Rural
Development",Shree Samudayik Sewa Kendra
2056,Mahottari,"Central
Region","Community and Rural
Development",Shree Samuhik Bikas Pariyojana
2061,Kanchanpur,"Far Western
Region","Community and Rural
Development",Shree Samwandh Nepal
2063,Lamjung,"Western
Region","Community and Rural
Development",Shree Sanaraij Yuth Club
2057,Ilam,Estern Region,"Community and Rural
Development",Shree Sanimai Jagarana Samuh
2056,Chitawan,"Central
Region","Community and Rural
Development",Shree Sansthagat Bikas Kendra
2060,Rautahat,"Central
Region","Community and Rural
Development","Shree Sant Kawir Sewashram
Jetharahima"
2060,Saptari,"Eastern
Region","Community and Rural
Development","Shree Sanyasi Gramin Bikas
Kendra"
2060,Bhaktapur,"Central
Region","Community and Rural
Development","Shree Saraswati Deusi Bhailo
Samuh"
2064,Kathmandu,"Central
Region","Community and Rural
Development",Shree Sarathi Nepal
2064,Sarlahi,"Central
Region","Community and Rural
Development",Shree Sarswati Yuwa Club
,Kathmandu,"Central
Region","Community and Rural
Development","Shree Sarwadhan Samuhik
Kalyana Kosha"
2053,Mahottari,"Central
Region","Community and Rural
Development",Shree Sarwaginna Bikas Club
2056,Lalitpur,"Central
Region","Community and Rural
Development","Shree Sarwamukhi Samaj Sudhar
Nepal"
2058,Kathmandu,"Central
Region","Community and Rural
Development",Shree Satya Sai Kendra
2065,Lalitpur,"Central
Region","Community and Rural
Development","Shree Sena Ganesh Tol Sudhar
Samiti"
2058,Ramechhap,"Central
Region","Community and Rural
Development","Shree Seti Dewi Jan Jagarana
Samuh"
2063,Bajhang,"Far Western
Region","Community and Rural
Development",Shree Seti Saipal bikas Kendra
2058,Kathmandu,"Central
Region","Community and Rural
Development",Shree Sewika Nepal
2055,"Sindhupalcho
k","Central
Region","Community and Rural
Development","Shree Sfatikeshwar Kailash
Ashram"
2058,Okhaldhunga,"Eastern
Region","Community and Rural
Development","Shree Shahid Bhumi Bikas Manch
Toksel"
2058,Dhanusha,"Central
Region","Community and Rural
Development",Shree Shahid Smriti Pratishathan
2053,Sarlahi,"Central
Region","Community and Rural
Development","Shree Shahidalila Smriti Ga.ma.
Jagarana Club"
2064,Kathmandu,"Central
Region","Community and Rural
Development",Shree Shakti Samuha
2056,Rautahat,"Central
Region","Community and Rural
Development",Shree Shankar Om Club
2053,Morang,"Eastern
Region","Community and Rural
Development","Shree Shanti Sangam Saskriti
Pariwar"
2056,Nawalparasi,"Western
Region","Community and Rural
Development","Shree Shanti Srijana Bikas Shrot
Kendra"
2062,Kaski,"Western
Region","Community and Rural
Development",Shree Shet Be Foundation Pokhara
2056,Makwanpur,"Central
Region","Community and Rural
Development","Shree Shikshyaa Talim Samudayik
Sewa Nepal"
2065,Okhaldhunga,"Eastern
Region","Community and Rural
Development",Shree Shiva Duti Krishi Samuha
2053,"Sindhupalcho
k","Central
Region","Community and Rural
Development","Shree Shiwapuri Samaj Utthan
Samiti"
2056,Saptari,"Eastern
Region","Community and Rural
Development","Shree Shramik Jagarana Abhiyan
Manch Nepal"
2064,Siraha,"Eastern
Region","Community and Rural
Development","Shree Shree 108 Shree
Bishwokarma Samaj Kalyan Samiti"
2062,Kathmandu,"Central
Region","Community and Rural
Development","Shree Shrestha Trikha Tagw Swa
Sewa Samaj"
2055,Gulmi,"Western
Region","Community and Rural
Development","Shree Shrot Parichalan Tatha
Bikas Abhiyan"
2061,Kaski,"Western
Region","Community and Rural
Development",Shree Shukla Sahitya Samiti
2053,Rautahat,"Central
Region","Community and Rural
Development","Shree Sidhh Baijanath Samaj
Sudhar Samiti"
2054,Ramechhap,"Central
Region","Community and Rural
Development",Shree Sidhharth Jan Jyoti Club
2058,Kathmandu,"Central
Region","Community and Rural
Development","Shree Sidhheshwar Kshyetra Bikas
Samiti"
2060,Kathmandu,"Central
Region","Community and Rural
Development",Shree Sidhhi Binayak Yuwa Club
2055,Kathmandu,"Central
Region","Community and Rural
Development",Shree Simakhada Sewa Samiti
2064,Kaski,"Western
Region","Community and Rural
Development","Shree Singhdeshwor Shiwalaya
Mandir Bikas Samiti"
2056,Nuwakot,"Central
Region","Community and Rural
Development","Shree Sirjanashil Krishak
Samanwaya Samuh"
2063,Kanchanpur,"Far Western
Region","Community and Rural
Development",Shree Siva Sakti Pragatishil Samaj
2063,Kanchanpur,"Far Western
Region","Community and Rural
Development",Shree Sivasakti Yuwa Club
2053,Saptari,"Eastern
Region","Community and Rural
Development",Shree Skai Club
2051,Achham,"Far Western
Region","Community and Rural
Development",Shree Sodsa Devi Sewa Samiti
2062,Siraha,"Eastern
Region","Community and Rural
Development",Shree Somamai Sewa Samiti
2060,Mahottari,"Central
Region","Community and Rural
Development","Shree Sonamai Sanskritik Bikas
Kendra"
2063,Makwanpur,"Central
Region","Community and Rural
Development","Shree Srijanshil Nepal Wikas
Samaj"
2063,Doti,"Far Western
Region","Community and Rural
Development","Shree Sudur Paschimanchal Ekikrit
Gramin Bikas Manch"
2064,Siraha,"Eastern
Region","Community and Rural
Development","Shree Sukhipur Udhyog Byapar
Samiti"
2060,Kailali,"Far Western
Region","Community and Rural
Development","Shree Swagat Samaj Sewa Tatha
Janakakalyana Samaj Swagat Nep"
2057,Khotang,"Eastern
Region","Community and Rural
Development",Shree Swanim Hatemalo Samaj
2061,Dang,"Mid Western
Region","Community and Rural
Development","Shree Swasthya Krishi Tatha
Batabarana Bikas Kendra Nepal"
2064,Lamjung,"Western
Region","Community and Rural
Development",Shree Taginasatar Bikas Samiti
2061,Kathmandu,"Central
Region","Community and Rural
Development","Shree Tank Prasad Archaya Smriti
Pratishathan"
2064,Saptari,"Eastern
Region","Community and Rural
Development","Shree Tapeshwori Samudayik
Bikas Kendra"
2056,Dhading,"Central
Region","Community and Rural
Development","Shree Tarukhark Samudayik Bikas
Samuh"
2053,Saptari,"Eastern
Region","Community and Rural
Development","Shree Tej Narayan Research
Foundation"
2057,Kathmandu,"Central
Region","Community and Rural
Development",Shree Teka Samuh Nepal
2061,Kaski,"Western
Region","Community and Rural
Development","Shree Tol Sudhar Ama Samuh
Nagin Tol"
2056,Solukhumbu,"Eastern
Region","Community and Rural
Development","Shree Toskham Yumestan
Sanstha"
2059,Kaski,"Western
Region","Community and Rural
Development",Shree Trishaktti Samaj Sewa Club
2053,Udayapur,"Eastern
Region","Community and Rural
Development","Shree Udayapur Ekata Wikas
Kendra Nepal"
2061,Ilam,Estern Region,"Community and Rural
Development","Shree Umakant Anusandhan Tatha
Bikas Pratishathan"
2062,Dang,"Mid Western
Region","Community and Rural
Development",Shree United Club
2052,Saptari,"Eastern
Region","Community and Rural
Development",Shree Universal Club
2058,Kathmandu,"Central
Region","Community and Rural
Development",Shree Wagamati Bahira Sangh
2054,Dang,"Mid Western
Region","Community and Rural
Development","Shree Wageshwari Bandhu
Trashat"
2053,Chitawan,"Central
Region","Community and Rural
Development","Shree Wahuudhheshya Samaj
Kalyana Sangh"
2058,Saptari,"Eastern
Region","Community and Rural
Development",Shree Walaram Sewa Samiti
2053,Syangja,"Western
Region","Community and Rural
Development",Shree Yog Sadhana Shiwir
,Udayapur,"Eastern
Region","Community and Rural
Development","Shree Yogeshwar Mahadew
Byawasthapan Samiti"
2056,Kathmandu,"Central
Region","Community and Rural
Development","Shree Yuwa Chetana Tatha
Jagarana"
2055,Chitawan,"Central
Region","Community and Rural
Development","Shreebhadra Bhagawat Sewa
Nirogadham Jyotiashram"
2060,Morang,"Eastern
Region","Community and Rural
Development",Shreejan Shil Kalyana Samiti
2054,Kailali,"Far Western
Region","Community and Rural
Development",Shreejenasil Samaj Srijana
2059,Siraha,"Eastern
Region","Community and Rural
Development","Shreemati Laxmi Thapa Memorial
Trust"
2065,Kathmandu,"Central
Region","Community and Rural
Development",Shreyaskar Bishwo Pariwar Nepal
2056,Dolakha,"Central
Region","Community and Rural
Development",Shri  X  Bhim Student  Association
2063,Achham,"Far Western
Region","Community and Rural
Development",Shrijana Kala Kendra
2062,Kathmandu,"Central
Region","Community and Rural
Development",Shrijana Nepal
2057,Kathmandu,"Central
Region","Community and Rural
Development",Shrijana Upabhotta Samiti
2057,Ramechhap,"Central
Region","Community and Rural
Development",Shrijanam Jan Sanskriti Pariwar
2063,Arghakhanchi,"Western
Region","Community and Rural
Development",Shrijanashil Apang Bikas Kendra
2056,Nawalparasi,"Western
Region","Community and Rural
Development",Shrijanashil Bikas Samaj
2058,Kanchanpur,"Far Western
Region","Community and Rural
Development",Shrijanashil Samaj
2063,Doti,"Far Western
Region","Community and Rural
Development",Shrijanashil Samaj Doti
2057,Kathmandu,"Central
Region","Community and Rural
Development","Shrijanashil Samaj Sewa Kendra
Nepal"
2062,Lalitpur,"Central
Region","Community and Rural
Development",Shrijanashil Samaj Utthan Kendra
2057,Baglung,"Western
Region","Community and Rural
Development","Shrijanashil Samudayik Shrot
Bikas Manch"
2055,Dhading,"Central
Region","Community and Rural
Development",Shrijanashil Sewa Sadan
2059,Makwanpur,"Central
Region","Community and Rural
Development",Shrijanashil Shanti  Samaj Nepal
2058,Lalitpur,"Central
Region","Community and Rural
Development","Shrijanatmak Kala Abm Sanchar
Sanstha"
2063,Sunsari,"Eastern
Region","Community and Rural
Development","Shrijanatmak Sachetanako Lagi
Kishor Kishori Wikas Samuh"
2055,Darchula,"Far Western
Region","Community and Rural
Development","Shrimalika Bhawani Gramina
Sudhar Sangh"
2059,Kathmandu,"Central
Region","Community and Rural
Development","Shrimanju Shree Sangit Kala
Kendra"
2063,Sarlahi,"Central
Region","Community and Rural
Development",Shrimati Kumari Dewi Yuwa Club
2060,Kathmandu,"Central
Region","Community and Rural
Development",Shrinagar Tol Bikas Samiti
2063,Gorkha,"Western
Region","Community and Rural
Development","Shrinath Mandali Tatha Kot Wikash
Samiti"
2061,Makwanpur,"Central
Region","Community and Rural
Development",Shrinkhala Natya Samuh
2053,Kaski,"Western
Region","Community and Rural
Development","Shriratan Pande Gaminakhanepani
Tatha Sarasafai Wyawastha Up"
2057,Kathmandu,"Central
Region","Community and Rural
Development",Shrishati Sewa Samaj
2060,Kathmandu,"Central
Region","Community and Rural
Development","Shrot Abm Batabaraniya
Sanrakshyan Samaj"
2056,Lalitpur,"Central
Region","Community and Rural
Development","Shrot Bikas Karyaka Lagi
Anusandhan Tatha Prasar Samuh"
2060,Syangja,"Western
Region","Community and Rural
Development",Shrot Bikas Kendra
2058,Kathmandu,"Central
Region","Community and Rural
Development",Shrot Bikas Pratishathan
2061,Kathmandu,"Central
Region","Community and Rural
Development","Shrot Bikas Tatha Anusandhan
Kendra"
2058,Lamjung,"Western
Region","Community and Rural
Development",Shrot Byabasthapan Pratishathan
2062,Dhading,"Central
Region","Community and Rural
Development","Shrot Byawasthapanaka Lagi
Manch Nepal"
2056,Siraha,"Eastern
Region","Community and Rural
Development",Shrot Nepal
2059,Dhading,"Central
Region","Community and Rural
Development","Shrot Pahichan Tatha
Byabasthapan Nepal"
2054,Dhading,"Central
Region","Community and Rural
Development",Shrot Parichalan Pratishathan
2065,Lamjung,"Western
Region","Community and Rural
Development","Shrot Parichalan Tatha Bikas
Kendra (REMADE)"
2056,Lamjung,"Western
Region","Community and Rural
Development",Shrrijan Shil Bikas Kendra
2055,Dang,"Mid Western
Region","Community and Rural
Development",Shrrijan Shil Bikas Samaj
,Okhaldhunga,"Eastern
Region","Community and Rural
Development","Shrrijana Gramin Samaj Bikas
Kendra"
2054,Dhanusha,"Central
Region","Community and Rural
Development",Shrrijana Janakapur
2057,Kathmandu,"Central
Region","Community and Rural
Development","Shrrijana Mahila Resam Kheti
Samuh"
2053,Bhaktapur,"Central
Region","Community and Rural
Development",Shrrijana Nagar Tol Sudhar Samiti
2053,Mahottari,"Central
Region","Community and Rural
Development",Shrrijana Samaj Sewa
2055,Lalitpur,"Central
Region","Community and Rural
Development",Shrrijana Sewa Kendra
2054,Bajura,"Far Western
Region","Community and Rural
Development","Shrrijanashil Gramina Wikas
Parishad"
2058,Kathmandu,"Central
Region","Community and Rural
Development",Shrrijanashil Hataharu Nepal
2054,Makwanpur,"Central
Region","Community and Rural
Development",Shrrijanashil Manaw Samaj
2054,Jhapa,"Eastern
Region","Community and Rural
Development",Shrrijanashil Samaj
2055,Gulmi,"Western
Region","Community and Rural
Development",Shrrijanashil Samaj
2060,Rupandehi,"Western
Region","Community and Rural
Development",Shrrijanashil Samaj Nepal
2055,Sindhuli,"Central
Region","Community and Rural
Development",Shrrijanashil Wikas Samuh
2063,Kathmandu,"Central
Region","Community and Rural
Development","Shrrijanatmak Bikas Tatha Urja
Sahabhagita"
2056,Kathmandu,"Central
Region","Community and Rural
Development","Shrrijanatmak Samudayik Bikas
Kendra"
2061,Sunsari,"Eastern
Region","Community and Rural
Development",Shrrikhala Jagarana Club
2063,Solukhumbu,"Eastern
Region","Community and Rural
Development","Shubatara Bahuudesiya Sewa
Kendra"
2056,Kathmandu,"Central
Region","Community and Rural
Development",Shubh Abasar Gram Nepal
2054,Kathmandu,"Central
Region","Community and Rural
Development",Shubh Laxmi Wikas Sewa Samiti
2055,Kathmandu,"Central
Region","Community and Rural
Development",Shubh Prabhat Nepal
2056,Kathmandu,"Central
Region","Community and Rural
Development",Shubh Prabhat Nepal
2063,Kanchanpur,"Far Western
Region","Community and Rural
Development",Shubh Prabhat Nepal
,Banke,"Mid Western
Region","Community and Rural
Development","Shubh Sandesh Sabha Netarwak
Nepal"
2060,Mahottari,"Central
Region","Community and Rural
Development",Shubh Shanti Nepal
2053,Kathmandu,"Central
Region","Community and Rural
Development",Shubh Shree  Bikas Kendra
2060,Kathmandu,"Central
Region","Community and Rural
Development","Shubh Trinetra Samaj Jagarana
Pratishathan"
2059,Syangja,"Western
Region","Community and Rural
Development",Shubh Yatra Gair Sarakari Sanstha
2066,Kathmandu,"Central
Region","Community and Rural
Development","Shubha Abasar Nisulka Sewa
Kendra"
2062,Bhaktapur,"Central
Region","Community and Rural
Development",Shubhadra Foundation Nepal
2059,Kaski,"Western
Region","Community and Rural
Development",Shubhakaman Samaj Sewa Samiti
2065,Sarlahi,"Central
Region","Community and Rural
Development",Shubhakamana Nepal
2060,Achham,"Far Western
Region","Community and Rural
Development",Shubhakamana Samaj
2062,Lalitpur,"Central
Region","Community and Rural
Development",Shubhakamana Shramajiwi Samaj
2058,Dhading,"Central
Region","Community and Rural
Development",Shubhashri Bikas Samaj Dhola
2063,Kathmandu,"Central
Region","Community and Rural
Development",Shubhechchha Nepal
2065,Kanchanpur,"Far Western
Region","Community and Rural
Development","Shukalafata Aarachhya Pidit
Adhikar Samrachhan Samiti"
2063,Kaski,"Western
Region","Community and Rural
Development","Shukla Gandaki Ama Samuh
Dewilla"
2060,Tanahu,"Western
Region","Community and Rural
Development","Shukla Gandaki Jan Samaj Bikas
Sanstha"
2066,Kathmandu,"Central
Region","Community and Rural
Development",Shunjya Bikas Samaj Nepa
2064,Bhaktapur,"Central
Region","Community and Rural
Development",Shuruwat
2060,Kathmandu,"Central
Region","Community and Rural
Development",Shushil Sanrakshyan Sewa Kendra
2064,Kathmandu,"Central
Region","Community and Rural
Development",Shutradhar
2064,Kathmandu,"Central
Region","Community and Rural
Development",Shuva Shree Nepal
2064,Syangja,"Western
Region","Community and Rural
Development",Shuvechha Sanstha
2061,Nuwakot,"Central
Region","Community and Rural
Development",Shyam Bahadur Bikas Kosha
2055,Gorkha,"Western
Region","Community and Rural
Development",Shyam Sundar Smriti Pratishathan
2050,Kathmandu,"Central
Region","Community and Rural
Development",Shyameshwor Samajik Sanstha
2063,Bhaktapur,"Central
Region","Community and Rural
Development",Shyanla Adibasi Tamang Samaj
2065,Kathmandu,"Central
Region","Community and Rural
Development",Shyarbi Yonden Chhokpa
2051,Kavre,"Central
Region","Community and Rural
Development",Siater  Foundation
2052,Kathmandu,"Central
Region","Community and Rural
Development","Sicha Tatha Sanskritik Jagaran
Samaj"
2063,Kathmandu,"Central
Region","Community and Rural
Development","Sichha Swasthaya Tatha Gramin
Bikas Nepal"
2052,Rupandehi,"Western
Region","Community and Rural
Development",SIDARTHA HITAISI SAMAJ
2066,Nawalparasi,"Western
Region","Community and Rural
Development","Siddartha Jagaran Tatha Bikas
Kendra"
2051,Baglung,"Western
Region","Community and Rural
Development",Siddha Baharah Bikas Club
2065,Bhaktapur,"Central
Region","Community and Rural
Development","Siddhikali Chhetra Samrakchhan
Tatha Bikas Samiti"
2063,Lamjung,"Western
Region","Community and Rural
Development","Sideshwor Pustkalaya tatya
Bachnalya Byastha Samiti"
2063,Bhaktapur,"Central
Region","Community and Rural
Development",Sidha Bouidhhik Samaj
,Kanchanpur,"Far Western
Region","Community and Rural
Development","Sidha Paropakar Bahudeshiya
Trust"
2051,Sindhuli,"Central
Region","Community and Rural
Development",SIDHA SAMAJIK SEWA SAMITI
2051,Gulmi,"Western
Region","Community and Rural
Development","SIDHARTHA KALYANKARI
SANGH NEPAL"
2065,Rupandehi,"Western
Region","Community and Rural
Development",Sidhartha Samudayik Samaj
2052,Kathmandu,"Central
Region","Community and Rural
Development",Sidhashram Sadhak Pariwar Nepal
2063,Pyuthan,"Mid Western
Region","Community and Rural
Development","Sidhh Barah Samudayik Bikas
Kendra"
2056,Achham,"Far Western
Region","Community and Rural
Development",Sidhh Gufa Bikas Samaj
2056,Kathmandu,"Central
Region","Community and Rural
Development",Sidhh Hast Bikas Sasntha
2055,Kathmandu,"Central
Region","Community and Rural
Development",Sidhh Samaj Sewa Nepal
,Gorkha,"Western
Region","Community and Rural
Development","Sidhh Sthani Falaful Bikasha
Krishak Samuh"
2054,Morang,"Eastern
Region","Community and Rural
Development","Sidhhakali Samudayik Bikas
Kendra"
2053,Mahottari,"Central
Region","Community and Rural
Development",Sidhhanath Sewa Samiti
2056,Kathmandu,"Central
Region","Community and Rural
Development",Sidhharth Boudhhik Samaj
2057,Rupandehi,"Western
Region","Community and Rural
Development","Sidhharth Ekikrit Bikas Samaj
Nepal"
2054,Sindhuli,"Central
Region","Community and Rural
Development",Sidhharth Ekikrit Bikas Sewa Nepal
2052,Rupandehi,"Western
Region","Community and Rural
Development",Sidhharth Gramina Bikas Samaj
2053,Rupandehi,"Western
Region","Community and Rural
Development",Sidhharth Jan Chetana
2053,Kapilbastu,"Western
Region","Community and Rural
Development",Sidhharth Jan Sewa Samaj
2054,Rupandehi,"Western
Region","Community and Rural
Development",Sidhharth Kalyana Sewa
2058,Rupandehi,"Western
Region","Community and Rural
Development","Sidhharth Nagar Ekikrit Bikas
(SIDA)"
2056,Pyuthan,"Mid Western
Region","Community and Rural
Development","Sidhharth Samudayik Gramina
Bikas Kendra"
2052,Nawalparasi,"Western
Region","Community and Rural
Development",Sidhharth Sarb Sewa Kendra
2066,Morang,"Eastern
Region","Community and Rural
Development","Sidhhartha Himal Welfare
Foundation"
2066,Rupandehi,"Western
Region","Community and Rural
Development",Sidhhartha Jagaran Bikas Kendra
2066,Kaski,"Western
Region","Community and Rural
Development",Sidhhartha Tamu (Gurung) Samaj
2062,Sarlahi,"Central
Region","Community and Rural
Development","Sidhheshwar Gramin Bikas Sewa
Samiti"
2055,Kathmandu,"Central
Region","Community and Rural
Development",Sidhheshwar Samaj Sudhar Sangh
2057,Kathmandu,"Central
Region","Community and Rural
Development","Sidhheshwar Wachanalaya Tatha
Sewa Kendra"
2063,Kathmandu,"Central
Region","Community and Rural
Development","Sidhhi Binayak Ganeshasthan
Byawastha Samiti"
2056,Okhaldhunga,"Eastern
Region","Community and Rural
Development",Sidhhi Charana Sangralaya Samiti
2065,Gulmi,"Western
Region","Community and Rural
Development",Sidhhi Samudayik Bikas Kendra
2060,Bhaktapur,"Central
Region","Community and Rural
Development",Sidhhi Smriti Pratishathan
2061,Lalitpur,"Central
Region","Community and Rural
Development",Sidhhipur Shanti Ra Bikas Kendra
2062,Lalitpur,"Central
Region","Community and Rural
Development",Sidhhipur Upabhoktta Samiti
2066,Ilam,"Eastern
Region","Community and Rural
Development","Sidhithumka Prayatan Bikas
Kendra"
2063,Kanchanpur,"Far Western
Region","Community and Rural
Development",Sidnath Guan Sewa Samaj
2063,Baitadi,"Far Western
Region","Community and Rural
Development",Sigas Bikas Samiti Sivaling
2059,Jumla,"Mid Western
Region","Community and Rural
Development",Sija Sewa Samaj
2061,Nawalparasi,"Western
Region","Community and Rural
Development",Siji Medikeyar
2058,Dang,"Mid Western
Region","Community and Rural
Development",Sikarmi Byabasayi Sangh
2064,Saptari,"Eastern
Region","Community and Rural
Development",Sikhar Samudayik Bikas Kendra
2054,Kavre,"Central
Region","Community and Rural
Development",Sikharapur Samaj Sewa Club
2064,Kaski,"Western
Region","Community and Rural
Development",Sikles Bikas Sarokar Samuha
2052,"Sankhuwasab
ha","Eastern
Region","Community and Rural
Development",Silichong Club Samaj Bikas Kendra
2060,Kailali,"Far Western
Region","Community and Rural
Development",Sima Bihin Swanya Sewak
2056,Surkhet,"Mid Western
Region","Community and Rural
Development","Simajik Chetana Tatha Bikash
Sanstha"
2056,Kathmandu,"Central
Region","Community and Rural
Development",Simal Artas
2058,Kathmandu,"Central
Region","Community and Rural
Development","Simana Bihin Manaw Adhikar
Nepal"
2063,Banke,"Mid Western
Region","Community and Rural
Development",Simant Bikas Munch
2062,Sarlahi,"Central
Region","Community and Rural
Development",Simara Samaj Kalyan Pratishathan
2063,Bara,"Central
Region","Community and Rural
Development",Simara Samudayik Pustakalaya
2061,Kathmandu,"Central
Region","Community and Rural
Development","Simasar Tatha Jaiwik Bibidhata
Sanrakshyana Samaj Nepal"
2055,Saptari,"Eastern
Region","Community and Rural
Development",Simasime Club
2064,Kathmandu,"Central
Region","Community and Rural
Development",Simit Sarkar Nepal
2057,Kathmandu,"Central
Region","Community and Rural
Development",Simpani Yunesko Club
2053,Dhanusha,"Central
Region","Community and Rural
Development",Simrik Nagari Wikas Samiti
2055,Kathmandu,"Central
Region","Community and Rural
Development",Simrik Nepal
2057,Bara,"Central
Region","Community and Rural
Development","Simrounagadh Sanskriti Tatha
Paryatan Bikas Samiti"
2062,Bara,"Central
Region","Community and Rural
Development","Simrounagadh Utthan Abhiyan
Kenandra"
2064,Kailali,"Far Western
Region","Community and Rural
Development","Simsar Chhetra Janasarokar
Kendra"
2061,Kathmandu,"Central
Region","Community and Rural
Development",Sinamangal Nagar Sewa Samaj
2060,Kathmandu,"Central
Region","Community and Rural
Development",Sinamangal Nagarik Samaj Nepal
2063,Kathmandu,"Central
Region","Community and Rural
Development","Sinbhupalchok Kathamandu Samaj
Sewa Nepal"
2056,"Sindhupalcho
k","Central
Region","Community and Rural
Development","Sindhu Bahuudeshyiya Samaj
Sudhar Samiti"
,"Sindhupalcho
k","Central
Region","Community and Rural
Development","Sindhu Bbahudhashiya Samaj
Kalyan Sangh"
2065,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Bikas Samaj
,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Ekikrit Gramin Bikas Sangh
2056,"Sindhupalcho
k","Central
Region","Community and Rural
Development","Sindhu Ekikrit Pichhadieko Dalit
Jan Jati Utthan Sangh"
2049,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Helembu Sewa Samiti
2058,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Kabhre Miln Sewa Samuh
2051,Kathmandu,"Central
Region","Community and Rural
Development",Sindhu Milan Kendra
2063,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Paryatan Samaj
2049,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Punargaran Sangh
2053,Sindhuli,"Central
Region","Community and Rural
Development",Sindhu Samaj Sewa Samiti
2064,Sindhuli,"Central
Region","Community and Rural
Development",Sindhu Samudayik Bikas Kendra
2056,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Sudhar Samaj
2057,Kathmandu,"Central
Region","Community and Rural
Development",Sindhu Tamang Utthan Sangh
2065,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Udayo Dalit Sangh
2051,"Sindhupalcho
k","Central
Region","Community and Rural
Development","Sindhu Upechit Samudaik Bikas
Munch"
2063,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Sindhu Wikas Kendra
2053,Sindhuli,"Central
Region","Community and Rural
Development",Sindhuli  Wikas Samaj
2065,Sindhuli,"Central
Region","Community and Rural
Development",Sindhuli Bikas Manch Nepal
2052,Sindhuli,"Central
Region","Community and Rural
Development",Sindhuli Ekikrit Bikas Sewa Nepal
2052,Sindhuli,"Central
Region","Community and Rural
Development","Sindhuli Gadhi Manaw Sewa
Pratishathan"
2054,Sindhuli,"Central
Region","Community and Rural
Development",Sindhuli Gadhi Sewa Sasntha
2066,Sindhuli,"Central
Region","Community and Rural
Development",Sindhuli Gramin Bikas Samaj
2063,Sarlahi,"Central
Region","Community and Rural
Development",Sindhuli Junar Bikas Sangh
2065,Sindhuli,"Central
Region","Community and Rural
Development","Sindhuli Kala Tatha Sanskritik
Pratisthan"
2065,Kathmandu,"Central
Region","Community and Rural
Development","Sindhuli Kusum Ekata Samaj
Nepal"
